"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,3,-1589729057,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,3,-1589719711,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,3,-1589715275,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,3,-1589713552,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,3,-1589712802,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,3,-1589711629,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,3,-1589710607,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,3,-1589709368,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,3,-1589708923,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,3,-1589708536,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,3,-1589708168,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,3,-1589707775,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,3,-1589707383,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,3,-1589706941,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,3,-1589706549,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,3,-1589706079,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,3,-1589705693,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,3,-1589705125,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,3,-1589704690,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,3,-1589704142,5.14,1,1,23.34,72.09,700,0,7.5
