"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,3,-1587969120,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,3,-1587959487,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,3,-1587955666,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,3,-1587953154,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,3,-1587951595,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,3,-1587950094,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,3,-1587948469,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,3,-1587947295,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,3,-1587945989,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,3,-1587945084,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,3,-1587944339,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,3,-1587943818,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,3,-1587943020,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,3,-1587942039,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,3,-1587941459,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,3,-1587940918,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,3,-1587940135,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,3,-1587939416,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,3,-1587938908,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,3,-1587938391,5.14,1,1,23.34,72.09,700,0,7.5
