"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
12,166.0,26.0,103.0,5886.0,808.0,4853.0,1086.0,250.0,674.0,34870.0,5431.0,34518.0,501.0,815.0,271.0,250.0,0.0,534.0,140.0,13948.0,20922.0,5431.0,0.0,13596.0,20922.0,176.0,325.0,26.0,0.0,86.0,17.0,2376.0,3510.0,808.0,0.0,1933.0,2920.0
14,166.0,9.0,75.0,9645.0,1564.0,8296.0,1078.0,140.0,595.0,86034.0,11215.0,78729.0,531.0,732.0,346.0,140.0,0.0,506.0,89.0,33498.0,52536.0,8971.0,2244.0,26193.0,52536.0,206.0,325.0,9.0,0.0,73.0,2.0,3860.0,5785.0,1226.0,338.0,3092.0,5204.0
16,166.0,196.0,793.0,10887.0,3041.0,10159.0,64637.0,1442.0,7457.0,416858.0,28602.0,356533.0,4934.0,12745.0,51892.0,1442.0,0.0,5680.0,1777.0,164078.0,252780.0,21474.0,7128.0,103753.0,252780.0,1559.0,3375.0,196.0,0.0,604.0,189.0,4387.0,6500.0,1871.0,1170.0,3724.0,6435.0
18,166.0,20.0,53.0,6398.0,957.0,5108.0,655.0,183.0,523.0,37691.0,6305.0,36884.0,327.0,570.0,85.0,183.0,0.0,438.0,85.0,14657.0,23034.0,5051.0,1254.0,13850.0,23034.0,132.0,195.0,20.0,0.0,49.0,4.0,2498.0,3900.0,762.0,195.0,1976.0,3132.0
20,166.0,20.0,93.0,9809.0,1818.0,8138.0,1204.0,215.0,714.0,93794.0,12338.0,84231.0,662.0,839.0,365.0,215.0,0.0,610.0,104.0,35978.0,57816.0,8510.0,3828.0,26415.0,57816.0,208.0,454.0,20.0,0.0,89.0,4.0,3894.0,5915.0,1170.0,648.0,2943.0,5195.0
22,166.0,1889.0,2390.0,10853.0,1224.0,9873.0,216559.0,51792.0,58181.0,529442.0,9720.0,307614.0,5118.0,19652.0,196907.0,1307.0,50485.0,5154.0,53027.0,154636.0,374806.0,9720.0,0.0,76152.0,231462.0,1467.0,3651.0,171.0,1718.0,527.0,1863.0,4356.0,6497.0,1224.0,0.0,3438.0,6435.0
24,166.0,20.0,115.0,6473.0,965.0,5226.0,1206.0,212.0,787.0,38056.0,6393.0,36839.0,498.0,957.0,249.0,212.0,0.0,606.0,181.0,14824.0,23232.0,5216.0,1177.0,13623.0,23216.0,176.0,322.0,20.0,0.0,96.0,19.0,2573.0,3900.0,770.0,195.0,1979.0,3247.0
26,166.0,36.0,130.0,10079.0,2584.0,8609.0,1548.0,288.0,949.0,101184.0,17817.0,94906.0,801.0,1057.0,491.0,288.0,0.0,723.0,226.0,38286.0,62898.0,11481.0,6336.0,32008.0,62898.0,282.0,519.0,36.0,0.0,98.0,32.0,3969.0,6110.0,1536.0,1048.0,3212.0,5397.0
28,166.0,170.0,642.0,10887.0,1814.0,10277.0,60153.0,1148.0,5439.0,386088.0,28801.0,343686.0,5053.0,16396.0,43757.0,1148.0,0.0,4061.0,1378.0,154626.0,231462.0,28801.0,0.0,112224.0,231462.0,1545.0,3508.0,170.0,0.0,480.0,162.0,4387.0,6500.0,1814.0,0.0,3842.0,6435.0
30,166.0,4.0,128.0,6296.0,839.0,4971.0,1431.0,372.0,1028.0,34560.0,5506.0,34358.0,619.0,933.0,498.0,174.0,198.0,725.0,303.0,13836.0,20724.0,5506.0,0.0,13634.0,20724.0,229.0,390.0,4.0,0.0,111.0,17.0,2526.0,3770.0,839.0,0.0,1986.0,2985.0
