"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,3000,2,2080,2,264939506,5.14,1,1,23.34,72.09,400,0,1,7.5
2,3000,2,2080,2,264952865,5.14,1,1,23.34,72.09,400,0,1,7.5
3,3000,2,2080,2,264961759,5.14,1,1,23.34,72.09,400,0,1,7.5
4,3000,2,2080,2,264969765,5.14,1,1,23.34,72.09,400,0,1,7.5
5,3000,2,2080,2,264977374,5.14,1,1,23.34,72.09,400,0,1,7.5
6,3000,2,2080,2,264984468,5.14,1,1,23.34,72.09,400,0,1,7.5
7,3000,2,2080,2,264991814,5.14,1,1,23.34,72.09,400,0,1,7.5
8,3000,2,2080,2,264999504,5.14,1,1,23.34,72.09,400,0,1,7.5
9,3000,2,2080,2,265007411,5.14,1,1,23.34,72.09,400,0,1,7.5
10,3000,2,2080,2,265014808,5.14,1,1,23.34,72.09,400,0,1,7.5
