"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,3000,2,2080,1,328630459,5.14,1,1,23.34,72.09,400,3,1,7.5
2,3000,2,2080,1,328808993,5.14,1,1,23.34,72.09,400,3,1,7.5
3,3000,2,2080,1,328962312,5.14,1,1,23.34,72.09,400,3,1,7.5
4,3000,2,2080,1,329084176,5.14,1,1,23.34,72.09,400,3,1,7.5
5,3000,2,2080,1,329233921,5.14,1,1,23.34,72.09,400,3,1,7.5
6,3000,2,2080,1,329350070,5.14,1,1,23.34,72.09,400,3,1,7.5
7,3000,2,2080,1,329433050,5.14,1,1,23.34,72.09,400,3,1,7.5
8,3000,2,2080,1,329552564,5.14,1,1,23.34,72.09,400,3,1,7.5
9,3000,2,2080,1,329696850,5.14,1,1,23.34,72.09,400,3,1,7.5
10,3000,2,2080,1,329849775,5.14,1,1,23.34,72.09,400,3,1,7.5
