"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,264.0,181.0,83.0,33.0,33.0,0.0,161.0,145.0,16.0,9144.0,3300.0,5844.0,7197.0,2026.0,5171.0,8074.0,2304.0,5770.0,2584.0,864.0,1612.0,139920.0,75034.0,106410.0,3.0,0.0,17.0
3,166.0,209.0,127.0,82.0,18.0,18.0,0.0,96.0,81.0,15.0,9101.0,3257.0,5844.0,4339.0,1002.0,3337.0,7961.0,2189.0,5772.0,1795.0,542.0,1047.0,133233.0,35322.0,101512.0,3.0,0.0,17.0
5,166.0,183.0,115.0,68.0,0.0,0.0,0.0,86.0,71.0,15.0,9240.0,3272.0,5968.0,5445.0,1471.0,3974.0,7972.0,2202.0,5770.0,1632.0,610.0,1045.0,143096.0,47312.0,108064.0,3.0,0.0,17.0
7,166.0,106.0,91.0,15.0,4.0,4.0,0.0,79.0,64.0,15.0,9279.0,3370.0,5909.0,4234.0,1011.0,3223.0,8160.0,2375.0,5785.0,1191.0,217.0,678.0,145743.0,36007.0,110273.0,3.0,0.0,17.0
9,166.0,201.0,124.0,77.0,27.0,27.0,0.0,114.0,99.0,15.0,9386.0,3350.0,6036.0,4463.0,1062.0,3401.0,8184.0,2334.0,5850.0,1934.0,672.0,1173.0,143895.0,37564.0,108597.0,3.0,0.0,17.0
11,166.0,194.0,97.0,97.0,70.0,20.0,50.0,145.0,65.0,80.0,9157.0,3313.0,5844.0,6901.0,1974.0,4927.0,8000.0,2280.0,5720.0,1827.0,715.0,1123.0,136957.0,73177.0,104344.0,3.0,0.0,17.0
13,166.0,125.0,110.0,15.0,9.0,9.0,0.0,87.0,72.0,15.0,9263.0,3292.0,5971.0,7061.0,1970.0,5091.0,8091.0,2256.0,5835.0,1523.0,515.0,979.0,144946.0,77288.0,109565.0,3.0,0.0,17.0
15,166.0,98.0,84.0,14.0,2.0,2.0,0.0,68.0,68.0,0.0,9360.0,3386.0,5974.0,7108.0,2015.0,5093.0,8191.0,2342.0,5849.0,1398.0,484.0,908.0,147371.0,77724.0,112108.0,3.0,0.0,17.0
17,166.0,200.0,120.0,80.0,67.0,16.0,51.0,150.0,70.0,80.0,8894.0,3121.0,5773.0,4250.0,991.0,3259.0,7701.0,2126.0,5575.0,1646.0,705.0,1118.0,133512.0,33216.0,100381.0,3.0,0.0,17.0
19,166.0,207.0,128.0,79.0,3.0,3.0,0.0,108.0,93.0,15.0,9114.0,3270.0,5844.0,5183.0,1441.0,3742.0,7995.0,2225.0,5770.0,1871.0,682.0,1197.0,142233.0,44649.0,107877.0,3.0,0.0,17.0
21,166.0,298.0,154.0,144.0,26.0,26.0,0.0,132.0,102.0,30.0,9448.0,3409.0,6039.0,5317.0,1459.0,3858.0,8261.0,2296.0,5965.0,2476.0,833.0,1365.0,148798.0,47378.0,111913.0,3.0,0.0,17.0
23,166.0,85.0,70.0,15.0,4.0,4.0,0.0,48.0,33.0,15.0,9172.0,3266.0,5906.0,4444.0,990.0,3454.0,7987.0,2216.0,5771.0,1055.0,325.0,644.0,143800.0,35128.0,109392.0,3.0,0.0,17.0
25,166.0,258.0,175.0,83.0,89.0,24.0,65.0,190.0,110.0,80.0,9453.0,3417.0,6036.0,7211.0,2040.0,5171.0,8260.0,2359.0,5901.0,2431.0,889.0,1504.0,147563.0,78396.0,110926.0,3.0,0.0,17.0
27,166.0,80.0,66.0,14.0,0.0,0.0,0.0,35.0,35.0,0.0,9152.0,3246.0,5906.0,4427.0,1088.0,3339.0,7997.0,2225.0,5772.0,1108.0,265.0,594.0,135756.0,35329.0,103316.0,3.0,0.0,17.0
29,166.0,83.0,80.0,3.0,7.0,7.0,0.0,63.0,63.0,0.0,9448.0,3409.0,6039.0,4812.0,1084.0,3728.0,8225.0,2310.0,5915.0,1157.0,377.0,744.0,152356.0,40883.0,115187.0,3.0,0.0,17.0
2,166.0,218.0,127.0,91.0,12.0,12.0,0.0,96.0,81.0,15.0,9375.0,3339.0,6036.0,7322.0,2021.0,5301.0,8194.0,2293.0,5901.0,1997.0,370.0,990.0,147100.0,79227.0,111542.0,3.0,0.0,17.0
4,166.0,205.0,114.0,91.0,4.0,4.0,0.0,96.0,66.0,30.0,9280.0,3306.0,5974.0,7037.0,1916.0,5121.0,8051.0,2201.0,5850.0,1730.0,558.0,1027.0,136758.0,72208.0,103665.0,3.0,0.0,17.0
6,166.0,46.0,43.0,3.0,0.0,0.0,0.0,43.0,43.0,0.0,9426.0,3390.0,6036.0,4652.0,1183.0,3469.0,8261.0,2358.0,5903.0,829.0,346.0,572.0,146991.0,37973.0,112029.0,3.0,0.0,17.0
8,166.0,187.0,110.0,77.0,6.0,6.0,0.0,83.0,68.0,15.0,9198.0,3292.0,5906.0,7091.0,1986.0,5105.0,8040.0,2269.0,5771.0,1766.0,649.0,1088.0,140584.0,74476.0,106583.0,3.0,0.0,17.0
10,166.0,220.0,129.0,91.0,4.0,4.0,0.0,106.0,76.0,30.0,9405.0,3369.0,6036.0,7247.0,1996.0,5251.0,8177.0,2277.0,5900.0,2032.0,604.0,1185.0,140529.0,75679.0,106478.0,3.0,0.0,17.0
12,166.0,237.0,104.0,133.0,73.0,8.0,65.0,135.0,68.0,67.0,9180.0,3274.0,5906.0,4529.0,1140.0,3389.0,8053.0,2282.0,5771.0,2198.0,930.0,1369.0,138887.0,35865.0,105556.0,3.0,0.0,17.0
14,166.0,26.0,26.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,8944.0,3171.0,5773.0,4214.0,1021.0,3193.0,7803.0,2175.0,5628.0,614.0,157.0,339.0,134797.0,34179.0,102357.0,3.0,0.0,17.0
16,166.0,96.0,81.0,15.0,20.0,20.0,0.0,80.0,65.0,15.0,9285.0,3311.0,5974.0,7017.0,1961.0,5056.0,8176.0,2276.0,5900.0,1443.0,597.0,1036.0,139572.0,72243.0,105285.0,3.0,0.0,17.0
18,166.0,187.0,122.0,65.0,7.0,7.0,0.0,96.0,81.0,15.0,9127.0,3283.0,5844.0,7173.0,1987.0,5186.0,7974.0,2254.0,5720.0,1663.0,410.0,912.0,140528.0,75533.0,106952.0,3.0,0.0,17.0
20,166.0,238.0,97.0,141.0,73.0,8.0,65.0,140.0,60.0,80.0,9398.0,3362.0,6036.0,4264.0,1072.0,3192.0,8262.0,2362.0,5900.0,1797.0,727.0,1083.0,141586.0,34327.0,107778.0,3.0,0.0,17.0
22,166.0,247.0,114.0,133.0,55.0,3.0,52.0,150.0,70.0,80.0,9091.0,3250.0,5841.0,5139.0,1411.0,3728.0,7915.0,2209.0,5706.0,2013.0,773.0,1229.0,140546.0,43253.0,106001.0,3.0,0.0,17.0
24,166.0,82.0,68.0,14.0,2.0,2.0,0.0,51.0,51.0,0.0,9238.0,3329.0,5909.0,5170.0,1445.0,3725.0,8139.0,2304.0,5835.0,1176.0,377.0,740.0,142168.0,42714.0,107783.0,3.0,0.0,17.0
26,166.0,83.0,68.0,15.0,0.0,0.0,0.0,49.0,34.0,15.0,8776.0,3127.0,5649.0,4942.0,1381.0,3561.0,7660.0,2135.0,5525.0,1120.0,431.0,711.0,131634.0,40819.0,99402.0,3.0,0.0,17.0
28,166.0,215.0,136.0,79.0,30.0,30.0,0.0,107.0,92.0,15.0,9383.0,3347.0,6036.0,4613.0,1161.0,3452.0,8149.0,2299.0,5850.0,1931.0,548.0,1098.0,142384.0,37032.0,108937.0,3.0,0.0,17.0
30,166.0,233.0,156.0,77.0,5.0,5.0,0.0,106.0,91.0,15.0,9178.0,3269.0,5909.0,4594.0,1058.0,3536.0,8021.0,2184.0,5837.0,1946.0,617.0,1141.0,139277.0,37960.0,106020.0,3.0,0.0,17.0
