"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,1,1270830191,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,1,1270929656,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,1,1271016857,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,1,1271112068,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,1,1271203050,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,1,1270830185,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,1,1270933579,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,1,1271023750,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,1,1271105592,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,1,1271188476,5.14,1,1,23.34,72.09,7500,1,0,7.5
