"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,1,254104100,5.14,1,1,23.34,72.09,3000,1,0,7.5
2,80,2,2080,1,254133077,5.14,1,1,23.34,72.09,3000,1,0,7.5
3,80,2,2080,1,254156124,5.14,1,1,23.34,72.09,3000,1,0,7.5
4,80,2,2080,1,254176727,5.14,1,1,23.34,72.09,3000,1,0,7.5
5,80,2,2080,1,254199482,5.14,1,1,23.34,72.09,3000,1,0,7.5
6,80,2,2080,1,254219942,5.14,1,1,23.34,72.09,3000,1,0,7.5
7,80,2,2080,1,254240199,5.14,1,1,23.34,72.09,3000,1,0,7.5
8,80,2,2080,1,254259100,5.14,1,1,23.34,72.09,3000,1,0,7.5
9,80,2,2080,1,254276760,5.14,1,1,23.34,72.09,3000,1,0,7.5
10,80,2,2080,1,254296992,5.14,1,1,23.34,72.09,3000,1,0,7.5
