"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,2,-1587777472,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,2,-1587773575,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,2,-1587770730,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,2,-1587768336,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,2,-1587767023,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,2,-1587765801,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,2,-1587764655,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,2,-1587763549,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,2,-1587762542,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,2,-1587761601,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,2,-1587760590,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,2,-1587759618,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,2,-1587758893,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,2,-1587758248,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,2,-1587757568,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,2,-1587756734,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,2,-1587755775,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,2,-1587755029,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,2,-1587754328,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,2,-1587753606,5.14,1,1,23.34,72.09,700,0,7.5
