"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,2219.0,1014.0,1205.0,1256.0,235.0,1021.0,1701.0,601.0,1100.0,7194.0,2904.0,4290.0,321.0,321.0,0.0,6720.0,2430.0,4290.0,64432.0,33146.0,45949.0,269448.0,8105.0,245878.0,2.0,0.0,18.0,29478.0,31432.0,33000.0,6029.0,27117.0,16471.0
2,166.0,2280.0,1024.0,1256.0,1330.0,242.0,1088.0,1777.0,620.0,1157.0,7194.0,2904.0,4290.0,333.0,333.0,0.0,6722.0,2432.0,4290.0,70341.0,36954.0,50480.0,265851.0,8221.0,242884.0,2.0,0.0,18.0,32685.0,33767.0,36574.0,6376.0,30578.0,17795.0
3,166.0,2378.0,1053.0,1325.0,1416.0,284.0,1132.0,1856.0,646.0,1210.0,7303.0,2948.0,4355.0,351.0,351.0,0.0,6819.0,2464.0,4355.0,68631.0,35559.0,48745.0,277732.0,8812.0,253254.0,2.0,0.0,18.0,30701.0,33999.0,34632.0,7229.0,28330.0,18044.0
4,166.0,2425.0,1099.0,1326.0,1426.0,280.0,1146.0,1881.0,663.0,1218.0,7303.0,2948.0,4355.0,331.0,331.0,0.0,6820.0,2465.0,4355.0,72335.0,37183.0,51511.0,264870.0,8281.0,242139.0,2.0,0.0,18.0,32714.0,35744.0,36591.0,6803.0,30380.0,18797.0
5,166.0,2305.0,1046.0,1259.0,1358.0,268.0,1090.0,1806.0,639.0,1167.0,7303.0,2948.0,4355.0,323.0,323.0,0.0,6816.0,2461.0,4355.0,71380.0,36737.0,50743.0,270211.0,7978.0,246545.0,2.0,0.0,18.0,32069.0,35610.0,35770.0,7186.0,29551.0,18674.0
6,166.0,2239.0,1042.0,1197.0,1281.0,256.0,1025.0,1724.0,629.0,1095.0,7412.0,2992.0,4420.0,319.0,319.0,0.0,6910.0,2490.0,4420.0,67656.0,34738.0,48295.0,270647.0,7931.0,247046.0,2.0,0.0,18.0,30483.0,33321.0,34335.0,6475.0,28263.0,17812.0
7,166.0,2394.0,1069.0,1325.0,1389.0,250.0,1139.0,1852.0,637.0,1215.0,7412.0,2992.0,4420.0,303.0,303.0,0.0,6922.0,2502.0,4420.0,73186.0,37848.0,51941.0,264543.0,7380.0,241724.0,2.0,0.0,18.0,33908.0,34757.0,38429.0,6345.0,31503.0,18033.0
8,166.0,2471.0,1130.0,1341.0,1404.0,255.0,1149.0,1910.0,674.0,1236.0,7194.0,2904.0,4290.0,311.0,311.0,0.0,6737.0,2447.0,4290.0,73331.0,37422.0,51855.0,265306.0,7781.0,242372.0,2.0,0.0,18.0,33395.0,35689.0,37642.0,6731.0,30691.0,18460.0
9,166.0,2382.0,1107.0,1275.0,1339.0,251.0,1088.0,1838.0,665.0,1173.0,7412.0,2992.0,4420.0,321.0,321.0,0.0,6922.0,2502.0,4420.0,71456.0,36421.0,50663.0,267050.0,7714.0,243996.0,2.0,0.0,18.0,32704.0,34838.0,36618.0,6196.0,30225.0,17959.0
10,166.0,2132.0,993.0,1139.0,1189.0,220.0,969.0,1643.0,603.0,1040.0,7412.0,2992.0,4420.0,316.0,316.0,0.0,6916.0,2496.0,4420.0,63718.0,32348.0,45608.0,268140.0,7565.0,244921.0,2.0,0.0,18.0,28915.0,31407.0,32311.0,5795.0,26553.0,16693.0
