"run","tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
1,1.0,5150000.0,0.7766990291262136,0.0,0.0,29.902912621359224,0.0,0.0,1.0,0.0
1,2.0,5150000.0,4.077669902912621,0.0,0.0,63.10679611650486,0.0,0.0,1.0,0.0
1,3.0,5150000.0,4.660194174757281,0.0,0.0,67.37864077669903,0.0,0.0,1.0,0.0
1,4.0,5150000.0,4.854368932038835,0.0,0.0,69.32038834951456,0.0,0.0,1.0,0.0
1,5.0,5150000.0,5.242718446601942,0.0,0.0,70.87378640776699,0.0,0.0,1.0,0.0
1,6.0,5150000.0,5.436893203883495,0.0,0.0,71.06796116504854,0.0,0.0,1.0,0.0
1,7.0,5150000.0,5.436893203883495,0.0,0.0,71.26213592233009,0.0,0.0,1.0,0.0
1,8.0,5150000.0,5.631067961165048,0.0,0.0,71.26213592233009,0.0,0.0,1.0,0.0
1,9.0,5150000.0,5.825242718446602,0.0,0.0,71.45631067961165,0.0,0.0,1.0,0.0
1,10.0,5150000.0,5.825242718446602,0.0,0.0,71.45631067961165,0.0,0.0,1.0,0.0
1,11.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,12.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,13.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,14.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,15.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,16.0,5150000.0,5.825242718446602,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,17.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,18.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,19.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,20.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,21.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,22.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,23.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,24.0,5150000.0,6.019417475728155,0.0,0.0,71.6504854368932,0.0,0.0,1.0,0.0
1,25.0,5150000.0,6.019417475728155,0.7766990291262136,0.7766990291262136,71.6504854368932,0.0,0.0,1.0,0.0
1,26.0,5150000.0,6.019417475728155,1.5533980582524272,1.5533980582524272,71.6504854368932,0.0,0.0,1.0,0.0
1,27.0,5150000.0,6.019417475728155,1.5533980582524272,1.5533980582524272,71.6504854368932,0.0,0.0,1.0,0.0
1,28.0,5150000.0,7.572815533980583,2.912621359223301,2.912621359223301,71.6504854368932,0.0,0.0,1.0,0.0
1,29.0,5150000.0,7.572815533980583,2.912621359223301,2.912621359223301,71.6504854368932,0.0,0.0,1.0,0.0
1,30.0,5150000.0,11.844660194174757,3.4951456310679614,3.4951456310679614,71.6504854368932,0.0,0.0,1.0,0.0
1,31.0,5150000.0,12.62135922330097,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,32.0,5150000.0,13.009708737864079,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,33.0,5150000.0,13.203883495145632,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,34.0,5150000.0,13.203883495145632,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,35.0,5150000.0,13.203883495145632,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,36.0,5150000.0,22.330097087378643,3.8834951456310676,3.8834951456310676,71.6504854368932,0.0,0.0,1.0,0.0
1,37.0,5150000.0,24.466019417475728,3.8834951456310676,3.8834951456310676,71.6504854368932,61.165048543689316,61.165048543689316,1.0,0.0
1,38.0,5150000.0,25.04854368932039,3.8834951456310676,3.8834951456310676,71.6504854368932,65.24271844660194,65.24271844660194,1.0,0.0
1,39.0,5150000.0,33.00970873786408,3.8834951456310676,3.8834951456310676,71.6504854368932,69.12621359223301,69.12621359223301,1.0,0.0
1,40.0,5150000.0,33.980582524271846,3.8834951456310676,3.8834951456310676,71.6504854368932,69.90291262135922,69.90291262135922,1.0,0.0
1,41.0,5150000.0,35.728155339805824,3.8834951456310676,3.8834951456310676,71.6504854368932,70.87378640776699,70.87378640776699,1.0,0.0
1,42.0,5150000.0,35.728155339805824,3.8834951456310676,3.8834951456310676,71.6504854368932,71.26213592233009,71.26213592233009,1.0,0.0
1,43.0,5150000.0,35.92233009708738,3.8834951456310676,3.8834951456310676,71.6504854368932,71.6504854368932,71.6504854368932,1.0,0.0
1,44.0,5150000.0,35.92233009708738,3.8834951456310676,3.8834951456310676,71.6504854368932,71.6504854368932,71.6504854368932,1.0,0.0
1,45.0,5150000.0,35.92233009708738,4.660194174757281,4.660194174757281,71.6504854368932,71.6504854368932,71.6504854368932,1.0,0.0
1,46.0,5150000.0,36.116504854368934,6.796116504854369,6.796116504854369,99.6116504854369,71.6504854368932,71.6504854368932,1.0,0.0
