"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,40,2,520,1,-1452991670,5.14,1,1,23.34,72.09,1400,0,7.5
2,40,2,520,1,-1452962289,5.14,1,1,23.34,72.09,1400,0,7.5
3,40,2,520,1,-1452950356,5.14,1,1,23.34,72.09,1400,0,7.5
4,40,2,520,1,-1452937751,5.14,1,1,23.34,72.09,1400,0,7.5
5,40,2,520,1,-1452926329,5.14,1,1,23.34,72.09,1400,0,7.5
6,40,2,520,1,-1452918565,5.14,1,1,23.34,72.09,1400,0,7.5
7,40,2,520,1,-1452910152,5.14,1,1,23.34,72.09,1400,0,7.5
8,40,2,520,1,-1452902618,5.14,1,1,23.34,72.09,1400,0,7.5
9,40,2,520,1,-1452894186,5.14,1,1,23.34,72.09,1400,0,7.5
10,40,2,520,1,-1452886132,5.14,1,1,23.34,72.09,1400,0,7.5
11,40,2,520,1,-1452875064,5.14,1,1,23.34,72.09,1400,0,7.5
12,40,2,520,1,-1452866821,5.14,1,1,23.34,72.09,1400,0,7.5
13,40,2,520,1,-1452859373,5.14,1,1,23.34,72.09,1400,0,7.5
14,40,2,520,1,-1452852205,5.14,1,1,23.34,72.09,1400,0,7.5
15,40,2,520,1,-1452843222,5.14,1,1,23.34,72.09,1400,0,7.5
16,40,2,520,1,-1452835216,5.14,1,1,23.34,72.09,1400,0,7.5
17,40,2,520,1,-1452828056,5.14,1,1,23.34,72.09,1400,0,7.5
18,40,2,520,1,-1452821110,5.14,1,1,23.34,72.09,1400,0,7.5
19,40,2,520,1,-1452814634,5.14,1,1,23.34,72.09,1400,0,7.5
20,40,2,520,1,-1452807345,5.14,1,1,23.34,72.09,1400,0,7.5
