"run","tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1,1.0,3.300970873786408,0.0,0.0,0.9708737864077669,0.0,0.0
1,2.0,4.077669902912621,0.0,0.0,1.1650485436893203,0.0,0.0
1,3.0,4.077669902912621,0.0,0.0,1.1650485436893203,0.0,0.0
1,4.0,4.466019417475728,0.0,0.0,1.1650485436893203,0.0,0.0
1,5.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,6.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,7.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,8.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,9.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,10.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,11.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,12.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,13.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,14.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,15.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,16.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,17.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,18.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,19.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,20.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,21.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,22.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,23.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,24.0,4.466019417475728,0.0,0.0,1.3592233009708738,0.0,0.0
1,25.0,4.466019417475728,0.5825242718446602,0.5825242718446602,1.3592233009708738,0.0,0.0
1,26.0,4.466019417475728,1.9417475728155338,1.9417475728155338,1.3592233009708738,0.0,0.0
1,27.0,4.466019417475728,1.9417475728155338,1.9417475728155338,1.3592233009708738,0.0,0.0
1,28.0,6.213592233009709,2.912621359223301,2.912621359223301,1.3592233009708738,0.0,0.0
1,29.0,7.184466019417475,2.912621359223301,2.912621359223301,1.3592233009708738,0.0,0.0
1,30.0,11.262135922330096,3.300970873786408,3.300970873786408,1.3592233009708738,0.9708737864077669,0.9708737864077669
1,31.0,12.233009708737864,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.1650485436893203,1.1650485436893203
1,32.0,12.62135922330097,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,33.0,13.009708737864079,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,34.0,13.009708737864079,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,35.0,13.009708737864079,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,36.0,20.97087378640777,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,37.0,22.330097087378643,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,38.0,23.106796116504853,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,39.0,29.514563106796114,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,40.0,30.097087378640776,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,41.0,30.29126213592233,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,42.0,30.485436893203882,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,43.0,30.485436893203882,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,44.0,30.679611650485437,3.4951456310679614,3.4951456310679614,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,45.0,30.679611650485437,4.077669902912621,4.077669902912621,1.3592233009708738,1.3592233009708738,1.3592233009708738
1,46.0,30.87378640776699,6.601941747572816,6.601941747572816,3.300970873786408,1.3592233009708738,1.3592233009708738
1,47.0,30.87378640776699,8.737864077669903,8.737864077669903,3.6893203883495143,1.3592233009708738,1.3592233009708738
1,48.0,30.87378640776699,8.737864077669903,8.737864077669903,3.8834951456310676,1.3592233009708738,1.3592233009708738
1,49.0,37.66990291262136,9.514563106796116,9.514563106796116,3.8834951456310676,1.3592233009708738,1.3592233009708738
1,50.0,40.3883495145631,9.514563106796116,9.514563106796116,4.077669902912621,1.3592233009708738,1.3592233009708738
1,51.0,41.16504854368932,9.514563106796116,9.514563106796116,4.077669902912621,1.3592233009708738,1.3592233009708738
1,52.0,41.55339805825243,9.12621359223301,9.12621359223301,4.077669902912621,1.3592233009708738,1.3592233009708738
1,53.0,50.679611650485434,9.902912621359224,9.902912621359224,4.077669902912621,1.3592233009708738,1.3592233009708738
1,54.0,53.398058252427184,10.87378640776699,10.87378640776699,4.077669902912621,1.3592233009708738,1.3592233009708738
1,55.0,54.1747572815534,10.87378640776699,10.87378640776699,4.077669902912621,1.3592233009708738,1.3592233009708738
1,56.0,55.72815533980583,13.980582524271846,13.980582524271846,4.077669902912621,1.3592233009708738,1.3592233009708738
