"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","Ertrag"
1.0,3.300970873786408,0.0,0.0,0.9708737864077669,0.0,0.0,5150000.0
2.0,3.4951456310679614,0.0,0.0,2.1359223300970873,0.0,0.0,5150000.0
3.0,3.6893203883495143,0.0,0.0,2.3300970873786406,0.0,0.0,5150000.0
4.0,3.6893203883495143,0.0,0.0,2.524271844660194,0.0,0.0,5150000.0
5.0,3.8834951456310676,0.0,0.0,2.524271844660194,0.0,0.0,5150000.0
6.0,3.8834951456310676,0.0,0.0,2.524271844660194,0.0,0.0,5150000.0
7.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
8.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
9.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
10.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
11.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
12.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
13.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
14.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
15.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
16.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
17.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
18.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
19.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
20.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
21.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
22.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
23.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
24.0,3.8834951456310676,0.0,0.0,2.7184466019417477,0.0,0.0,5150000.0
25.0,3.8834951456310676,0.7766990291262136,0.7766990291262136,2.7184466019417477,0.0,0.0,5150000.0
26.0,3.8834951456310676,2.3300970873786406,2.3300970873786406,2.7184466019417477,0.0,0.0,5150000.0
27.0,3.8834951456310676,2.3300970873786406,2.3300970873786406,2.7184466019417477,0.0,0.0,5150000.0
28.0,5.825242718446602,3.1067961165048543,3.1067961165048543,2.7184466019417477,0.0,0.0,5150000.0
29.0,6.796116504854369,3.1067961165048543,3.1067961165048543,2.7184466019417477,0.0,0.0,5150000.0
30.0,11.067961165048544,3.4951456310679614,3.4951456310679614,2.7184466019417477,1.9417475728155338,1.9417475728155338,5150000.0
31.0,12.03883495145631,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.1359223300970873,2.1359223300970873,5150000.0
32.0,13.203883495145632,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.1359223300970873,2.1359223300970873,5150000.0
33.0,13.398058252427184,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.3300970873786406,2.3300970873786406,5150000.0
34.0,13.398058252427184,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.3300970873786406,2.3300970873786406,5150000.0
35.0,13.398058252427184,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.524271844660194,2.524271844660194,5150000.0
36.0,21.35922330097087,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
37.0,22.135922330097088,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
38.0,22.718446601941746,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
39.0,28.155339805825243,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
40.0,29.320388349514566,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
41.0,30.097087378640776,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
42.0,30.485436893203882,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
43.0,30.679611650485437,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
44.0,30.679611650485437,3.4951456310679614,3.4951456310679614,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
45.0,30.87378640776699,4.466019417475728,4.466019417475728,2.7184466019417477,2.7184466019417477,2.7184466019417477,5150000.0
46.0,30.87378640776699,7.184466019417475,7.184466019417475,8.155339805825243,2.7184466019417477,2.7184466019417477,5150000.0
47.0,30.87378640776699,9.320388349514563,9.320388349514563,9.70873786407767,2.7184466019417477,2.7184466019417477,5150000.0
48.0,30.87378640776699,9.12621359223301,9.12621359223301,10.485436893203884,2.7184466019417477,2.7184466019417477,5150000.0
49.0,41.55339805825243,9.70873786407767,9.70873786407767,10.87378640776699,2.7184466019417477,2.7184466019417477,5150000.0
50.0,45.43689320388349,9.70873786407767,9.70873786407767,11.650485436893204,2.7184466019417477,2.7184466019417477,5150000.0
51.0,46.601941747572816,9.902912621359224,9.902912621359224,11.844660194174757,2.7184466019417477,2.7184466019417477,5150000.0
52.0,47.96116504854369,10.29126213592233,10.29126213592233,11.844660194174757,2.7184466019417477,2.7184466019417477,5150000.0
