"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1.0,3.300970873786408,0.0,0.0,0.9708737864077669,0.0,0.0
2.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
3.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
4.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
5.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
6.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
7.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
8.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
9.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
10.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
11.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
12.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
13.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
14.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
15.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
16.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
17.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
18.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
19.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
20.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
21.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
22.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
23.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
24.0,3.8834951456310676,0.0,0.0,1.5533980582524272,0.0,0.0
25.0,3.8834951456310676,1.1650485436893203,1.1650485436893203,1.5533980582524272,0.0,0.0
26.0,3.8834951456310676,2.524271844660194,2.524271844660194,1.5533980582524272,0.0,0.0
27.0,3.8834951456310676,2.524271844660194,2.524271844660194,1.5533980582524272,0.0,0.0
28.0,6.213592233009709,3.300970873786408,3.300970873786408,1.5533980582524272,0.0,0.0
29.0,6.407766990291262,3.300970873786408,3.300970873786408,1.5533980582524272,0.0,0.0
30.0,10.87378640776699,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
31.0,12.233009708737864,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
32.0,12.815533980582524,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
33.0,13.009708737864079,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
34.0,13.398058252427184,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
35.0,13.398058252427184,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
36.0,20.776699029126213,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
37.0,20.776699029126213,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
38.0,21.16504854368932,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
39.0,27.378640776699033,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
40.0,28.7378640776699,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
41.0,29.514563106796114,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.0,0.0
42.0,29.708737864077673,3.4951456310679614,3.4951456310679614,1.5533980582524272,0.9708737864077669,0.9708737864077669
43.0,29.708737864077673,3.4951456310679614,3.4951456310679614,1.5533980582524272,1.1650485436893203,1.1650485436893203
44.0,29.902912621359224,3.4951456310679614,3.4951456310679614,1.5533980582524272,1.5533980582524272,1.5533980582524272
45.0,30.097087378640776,4.854368932038835,4.854368932038835,1.5533980582524272,1.5533980582524272,1.5533980582524272
46.0,30.097087378640776,7.961165048543689,7.961165048543689,3.300970873786408,1.5533980582524272,1.5533980582524272
47.0,30.097087378640776,9.70873786407767,9.70873786407767,3.4951456310679614,1.5533980582524272,1.5533980582524272
48.0,30.097087378640776,10.097087378640776,10.097087378640776,3.6893203883495143,1.5533980582524272,1.5533980582524272
49.0,39.80582524271845,9.902912621359224,9.902912621359224,3.8834951456310676,1.5533980582524272,1.5533980582524272
50.0,44.271844660194176,10.097087378640776,10.097087378640776,3.8834951456310676,1.5533980582524272,1.5533980582524272
51.0,45.04854368932038,10.29126213592233,10.29126213592233,3.8834951456310676,1.5533980582524272,1.5533980582524272
52.0,45.43689320388349,9.902912621359224,9.902912621359224,3.8834951456310676,1.5533980582524272,1.5533980582524272
53.0,54.1747572815534,10.29126213592233,10.29126213592233,4.271844660194175,1.5533980582524272,1.5533980582524272
54.0,57.28155339805825,13.398058252427184,13.398058252427184,4.271844660194175,1.5533980582524272,1.5533980582524272
55.0,58.252427184466015,13.203883495145632,13.203883495145632,4.271844660194175,1.5533980582524272,1.5533980582524272
56.0,60.38834951456311,15.922330097087379,15.922330097087379,4.271844660194175,1.5533980582524272,1.5533980582524272
57.0,61.359223300970875,15.53398058252427,15.53398058252427,4.271844660194175,1.5533980582524272,1.5533980582524272
58.0,61.55339805825243,17.66990291262136,17.66990291262136,4.271844660194175,1.5533980582524272,1.5533980582524272
59.0,61.74757281553398,16.893203883495143,16.893203883495143,4.271844660194175,1.5533980582524272,1.5533980582524272
60.0,61.74757281553398,19.80582524271845,14.757281553398057,4.271844660194175,1.5533980582524272,1.1650485436893203
61.0,67.57281553398057,19.41747572815534,14.951456310679612,4.271844660194175,1.5533980582524272,1.1650485436893203
62.0,67.76699029126215,22.135922330097088,17.475728155339805,4.271844660194175,1.5533980582524272,1.1650485436893203
63.0,70.48543689320388,22.330097087378643,17.281553398058254,4.271844660194175,1.5533980582524272,1.1650485436893203
64.0,70.87378640776699,23.300970873786408,18.25242718446602,4.271844660194175,1.5533980582524272,1.1650485436893203
65.0,71.26213592233009,23.689320388349515,18.640776699029125,4.271844660194175,1.5533980582524272,1.1650485436893203
66.0,71.26213592233009,24.271844660194176,19.611650485436893,4.271844660194175,1.5533980582524272,1.1650485436893203
67.0,71.26213592233009,24.660194174757283,19.611650485436893,4.271844660194175,1.5533980582524272,1.1650485436893203
68.0,71.26213592233009,24.466019417475728,18.640776699029125,4.271844660194175,1.5533980582524272,1.1650485436893203
69.0,71.26213592233009,24.466019417475728,19.223300970873787,4.271844660194175,1.5533980582524272,1.1650485436893203
70.0,79.2233009708738,24.466019417475728,19.41747572815534,4.271844660194175,1.5533980582524272,1.1650485436893203
71.0,80.19417475728156,31.06796116504854,25.24271844660194,6.407766990291262,1.5533980582524272,1.1650485436893203
72.0,82.91262135922331,34.1747572815534,27.766990291262132,7.184466019417475,1.5533980582524272,1.1650485436893203
73.0,83.30097087378641,38.83495145631068,30.679611650485437,9.12621359223301,1.5533980582524272,1.1650485436893203
74.0,83.30097087378641,45.43689320388349,37.0873786407767,9.70873786407767,1.5533980582524272,1.1650485436893203
75.0,83.30097087378641,49.70873786407767,41.94174757281554,9.902912621359224,1.5533980582524272,1.1650485436893203
76.0,83.49514563106796,52.23300970873787,43.30097087378641,9.902912621359224,1.5533980582524272,1.1650485436893203
77.0,83.49514563106796,53.786407766990294,30.485436893203882,10.097087378640776,1.5533980582524272,0.5825242718446602
78.0,83.49514563106796,54.95145631067962,32.23300970873787,10.097087378640776,1.5533980582524272,0.5825242718446602
