"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1.0,5150000.0,4.466019417475728,0.0,0.0,34.1747572815534,0.0,0.0
2.0,5150000.0,5.048543689320388,0.0,0.0,37.28155339805825,0.0,0.0
3.0,5150000.0,5.436893203883495,0.0,0.0,38.44660194174757,0.0,0.0
4.0,5150000.0,5.631067961165048,0.0,0.0,39.6116504854369,0.0,0.0
5.0,5150000.0,5.631067961165048,0.0,0.0,39.80582524271845,0.0,0.0
6.0,5150000.0,5.825242718446602,0.0,0.0,39.80582524271845,0.0,0.0
7.0,5150000.0,5.825242718446602,0.0,0.0,39.80582524271845,0.0,0.0
8.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
9.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
10.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
11.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
12.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
13.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
14.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
15.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
16.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
17.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
18.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
19.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
20.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
21.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
22.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
23.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
24.0,5150000.0,5.825242718446602,0.0,0.0,40.0,0.0,0.0
25.0,5150000.0,5.825242718446602,1.3592233009708738,1.3592233009708738,40.0,0.0,0.0
26.0,5150000.0,5.825242718446602,2.7184466019417477,2.7184466019417477,40.0,0.0,0.0
27.0,5150000.0,5.825242718446602,2.7184466019417477,2.7184466019417477,40.0,0.0,0.0
28.0,5150000.0,8.349514563106796,4.077669902912621,4.077669902912621,40.0,0.0,0.0
29.0,5150000.0,8.54368932038835,4.271844660194175,4.271844660194175,40.0,0.0,0.0
30.0,5150000.0,14.757281553398057,4.660194174757281,4.660194174757281,40.0,0.0,0.0
31.0,5150000.0,15.53398058252427,4.660194174757281,4.660194174757281,40.0,0.0,0.0
32.0,5150000.0,15.53398058252427,4.660194174757281,4.660194174757281,40.0,0.0,0.0
33.0,5150000.0,15.922330097087379,4.660194174757281,4.660194174757281,40.0,0.0,0.0
34.0,5150000.0,16.310679611650485,4.660194174757281,4.660194174757281,40.0,0.0,0.0
35.0,5150000.0,16.310679611650485,4.660194174757281,4.660194174757281,40.0,0.0,0.0
36.0,5150000.0,25.24271844660194,4.660194174757281,4.660194174757281,40.0,0.0,0.0
37.0,5150000.0,26.601941747572816,4.660194174757281,4.660194174757281,40.0,0.0,0.0
38.0,5150000.0,26.796116504854368,4.660194174757281,4.660194174757281,40.0,0.0,0.0
39.0,5150000.0,35.728155339805824,4.660194174757281,4.660194174757281,40.0,34.56310679611651,34.56310679611651
40.0,5150000.0,37.28155339805825,4.660194174757281,4.660194174757281,40.0,38.05825242718446,38.05825242718446
41.0,5150000.0,37.4757281553398,4.660194174757281,4.660194174757281,40.0,39.22330097087379,39.22330097087379
42.0,5150000.0,38.05825242718446,4.660194174757281,4.660194174757281,40.0,40.0,40.0
43.0,5150000.0,38.25242718446602,4.660194174757281,4.660194174757281,40.0,40.0,40.0
44.0,5150000.0,38.25242718446602,4.660194174757281,4.660194174757281,40.0,40.0,40.0
45.0,5150000.0,38.44660194174757,5.825242718446602,5.825242718446602,40.0,40.0,40.0
