"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
1.0,5150000.0,2.7184466019417477,0.0,0.0,28.932038834951456,0.0,0.0,1.0,2.0
2.0,5150000.0,9.70873786407767,0.0,0.0,63.10679611650486,0.0,0.0,1.0,2.0
3.0,5150000.0,12.03883495145631,0.0,0.0,68.54368932038835,0.0,0.0,1.0,2.0
4.0,5150000.0,12.62135922330097,0.0,0.0,69.90291262135922,0.0,0.0,1.0,2.0
5.0,5150000.0,12.815533980582524,0.0,0.0,71.26213592233009,0.0,0.0,1.0,2.0
6.0,5150000.0,12.815533980582524,0.0,0.0,71.84466019417476,0.0,0.0,1.0,2.0
7.0,5150000.0,12.815533980582524,0.0,0.0,71.84466019417476,0.0,0.0,1.0,2.0
8.0,5150000.0,12.815533980582524,0.0,0.0,72.23300970873787,0.0,0.0,1.0,2.0
9.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
10.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
11.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
12.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
13.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
14.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
15.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
16.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
17.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
18.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
19.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
20.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
21.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
22.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
23.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
24.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
25.0,5150000.0,12.815533980582524,0.0,0.0,72.62135922330097,0.0,0.0,1.0,2.0
26.0,5150000.0,12.815533980582524,3.1067961165048543,3.1067961165048543,72.62135922330097,0.0,0.0,1.0,2.0
27.0,5150000.0,12.815533980582524,4.660194174757281,4.660194174757281,72.62135922330097,0.0,0.0,1.0,2.0
