"tick","BefallGR","BefallGRsicht","BefallGRertrag"
1.0,2.7184466019417477,0.0,0.0
2.0,3.300970873786408,0.0,0.0
3.0,3.4951456310679614,0.0,0.0
4.0,3.6893203883495143,0.0,0.0
5.0,3.6893203883495143,0.0,0.0
6.0,3.6893203883495143,0.0,0.0
7.0,3.6893203883495143,0.0,0.0
8.0,3.6893203883495143,0.0,0.0
9.0,3.6893203883495143,0.0,0.0
10.0,3.6893203883495143,0.0,0.0
11.0,3.6893203883495143,0.0,0.0
12.0,3.6893203883495143,0.0,0.0
13.0,3.6893203883495143,0.0,0.0
14.0,3.6893203883495143,0.0,0.0
15.0,3.6893203883495143,0.0,0.0
16.0,3.6893203883495143,0.0,0.0
17.0,3.6893203883495143,0.0,0.0
18.0,3.6893203883495143,0.0,0.0
19.0,3.6893203883495143,0.0,0.0
20.0,3.6893203883495143,0.0,0.0
21.0,3.6893203883495143,0.0,0.0
22.0,3.6893203883495143,0.0,0.0
23.0,3.6893203883495143,0.0,0.0
24.0,3.6893203883495143,0.0,0.0
25.0,3.6893203883495143,0.5825242718446602,0.5825242718446602
26.0,3.6893203883495143,1.3592233009708738,1.3592233009708738
27.0,3.6893203883495143,1.5533980582524272,1.5533980582524272
28.0,4.854368932038835,2.524271844660194,2.524271844660194
29.0,4.854368932038835,2.524271844660194,2.524271844660194
30.0,9.12621359223301,2.912621359223301,2.912621359223301
31.0,10.097087378640776,2.912621359223301,2.912621359223301
32.0,10.29126213592233,2.912621359223301,2.912621359223301
33.0,10.29126213592233,2.912621359223301,2.912621359223301
34.0,10.29126213592233,2.912621359223301,2.912621359223301
35.0,10.485436893203884,2.912621359223301,2.912621359223301
36.0,15.728155339805824,2.912621359223301,2.912621359223301
37.0,16.699029126213592,2.912621359223301,2.912621359223301
38.0,17.475728155339805,2.912621359223301,2.912621359223301
39.0,21.941747572815533,2.912621359223301,2.912621359223301
40.0,22.135922330097088,2.912621359223301,2.912621359223301
41.0,22.9126213592233,2.912621359223301,2.912621359223301
42.0,23.495145631067963,2.912621359223301,2.912621359223301
43.0,23.495145631067963,2.912621359223301,2.912621359223301
44.0,23.495145631067963,2.912621359223301,2.912621359223301
45.0,23.495145631067963,3.300970873786408,3.300970873786408
46.0,23.689320388349515,5.242718446601942,5.242718446601942
47.0,23.689320388349515,7.184466019417475,7.184466019417475
48.0,23.689320388349515,7.184466019417475,7.184466019417475
49.0,32.62135922330097,7.961165048543689,7.961165048543689
