"tick","BefallGR","BefallGRsicht","BefallGRertrag"
1.0,3.300970873786408,0.0,0.0
2.0,3.4951456310679614,0.0,0.0
3.0,3.6893203883495143,0.0,0.0
4.0,3.6893203883495143,0.0,0.0
5.0,3.6893203883495143,0.0,0.0
6.0,3.6893203883495143,0.0,0.0
7.0,3.8834951456310676,0.0,0.0
8.0,3.8834951456310676,0.0,0.0
9.0,3.8834951456310676,0.0,0.0
10.0,3.8834951456310676,0.0,0.0
11.0,3.8834951456310676,0.0,0.0
12.0,3.8834951456310676,0.0,0.0
13.0,3.8834951456310676,0.0,0.0
14.0,3.8834951456310676,0.0,0.0
15.0,3.8834951456310676,0.0,0.0
16.0,3.8834951456310676,0.0,0.0
17.0,3.8834951456310676,0.0,0.0
18.0,3.8834951456310676,0.0,0.0
19.0,3.8834951456310676,0.0,0.0
20.0,3.8834951456310676,0.0,0.0
21.0,3.8834951456310676,0.0,0.0
22.0,3.8834951456310676,0.0,0.0
23.0,3.8834951456310676,0.0,0.0
24.0,3.8834951456310676,0.0,0.0
25.0,3.8834951456310676,1.3592233009708738,1.3592233009708738
26.0,3.8834951456310676,2.3300970873786406,2.3300970873786406
27.0,3.8834951456310676,2.3300970873786406,2.3300970873786406
28.0,6.019417475728155,3.1067961165048543,3.1067961165048543
29.0,6.796116504854369,3.1067961165048543,3.1067961165048543
30.0,12.03883495145631,3.4951456310679614,3.4951456310679614
31.0,13.009708737864079,3.4951456310679614,3.4951456310679614
32.0,14.36893203883495,3.4951456310679614,3.4951456310679614
33.0,14.757281553398057,3.4951456310679614,3.4951456310679614
34.0,14.951456310679612,3.4951456310679614,3.4951456310679614
35.0,14.951456310679612,3.4951456310679614,3.4951456310679614
36.0,22.718446601941746,3.4951456310679614,3.4951456310679614
37.0,23.883495145631066,3.4951456310679614,3.4951456310679614
38.0,24.07766990291262,3.4951456310679614,3.4951456310679614
39.0,30.87378640776699,3.4951456310679614,3.4951456310679614
40.0,31.2621359223301,3.4951456310679614,3.4951456310679614
41.0,31.844660194174757,3.4951456310679614,3.4951456310679614
42.0,32.23300970873787,3.4951456310679614,3.4951456310679614
43.0,32.23300970873787,3.4951456310679614,3.4951456310679614
44.0,32.23300970873787,3.4951456310679614,3.4951456310679614
45.0,32.23300970873787,4.660194174757281,4.660194174757281
46.0,32.23300970873787,8.155339805825243,8.155339805825243
47.0,32.23300970873787,10.097087378640776,10.097087378640776
48.0,32.23300970873787,9.902912621359224,9.902912621359224
49.0,43.49514563106796,10.485436893203884,10.485436893203884
50.0,48.737864077669904,10.87378640776699,10.87378640776699
51.0,50.29126213592233,10.679611650485436,10.679611650485436
52.0,50.29126213592233,11.067961165048544,11.067961165048544
53.0,58.252427184466015,10.87378640776699,10.87378640776699
54.0,62.33009708737865,14.757281553398057,14.757281553398057
55.0,62.5242718446602,14.563106796116504,14.563106796116504
56.0,63.883495145631066,17.0873786407767,17.0873786407767
57.0,64.27184466019418,17.0873786407767,17.0873786407767
58.0,64.46601941747574,18.058252427184467,18.058252427184467
59.0,64.46601941747574,18.446601941747574,18.446601941747574
60.0,64.85436893203882,22.330097087378643,16.116504854368934
61.0,71.26213592233009,22.135922330097088,15.922330097087379
62.0,71.84466019417476,24.660194174757283,17.66990291262136
63.0,73.39805825242719,24.466019417475728,17.281553398058254
64.0,73.7864077669903,25.631067961165048,18.446601941747574
65.0,73.98058252427184,25.8252427184466,18.446601941747574
66.0,73.98058252427184,26.21359223300971,18.640776699029125
67.0,73.98058252427184,26.21359223300971,19.02912621359223
68.0,73.98058252427184,25.631067961165048,18.058252427184467
69.0,73.98058252427184,26.21359223300971,18.83495145631068
70.0,81.94174757281554,26.21359223300971,18.83495145631068
71.0,82.33009708737865,34.368932038834956,26.21359223300971
72.0,85.04854368932038,37.86407766990291,28.349514563106798
73.0,85.63106796116506,43.30097087378641,32.81553398058252
74.0,85.63106796116506,50.873786407766985,41.359223300970875
75.0,85.63106796116506,54.1747572815534,44.46601941747573
76.0,85.63106796116506,56.89320388349515,47.57281553398058
77.0,85.63106796116506,56.89320388349515,48.15533980582524
78.0,85.63106796116506,59.6116504854369,30.485436893203882
79.0,85.63106796116506,62.5242718446602,37.86407766990291
80.0,87.37864077669903,66.99029126213593,45.43689320388349
81.0,87.76699029126213,69.32038834951456,47.96116504854369
82.0,87.76699029126213,69.51456310679612,48.932038834951456
83.0,87.96116504854369,70.09708737864078,48.737864077669904
84.0,87.96116504854369,74.5631067961165,28.932038834951456
