"tick","GRCount","STCount"
1.0,11,2400
2.0,11,2400
3.0,11,2400
4.0,11,2400
5.0,11,2400
6.0,11,2400
7.0,11,2400
8.0,11,2400
9.0,11,2400
10.0,11,2400
11.0,11,2400
12.0,11,2400
13.0,11,2400
14.0,11,2400
15.0,11,2400
16.0,11,2400
17.0,11,2400
18.0,11,2400
19.0,11,2400
20.0,11,2400
21.0,11,2400
22.0,11,2400
23.0,11,2400
24.0,11,2400
25.0,11,2400
26.0,11,2400
27.0,17,2400
28.0,17,2400
29.0,21,2400
30.0,21,2400
31.0,21,2400
32.0,21,2400
33.0,21,2400
34.0,21,2400
35.0,36,2400
36.0,36,2400
37.0,36,2400
38.0,42,2400
39.0,42,2400
40.0,42,2400
41.0,42,2400
42.0,42,2400
43.0,42,2400
44.0,42,8350
45.0,42,8350
46.0,42,8350
47.0,42,8350
48.0,49,8350
49.0,59,8350
50.0,59,8350
51.0,59,8350
52.0,78,8350
53.0,90,8350
54.0,106,8350
55.0,103,8350
56.0,99,8350
57.0,99,8350
58.0,98,8350
59.0,98,8350
60.0,95,8350
61.0,95,8350
62.0,95,8350
63.0,95,8350
64.0,95,8350
65.0,95,8350
66.0,95,8350
67.0,95,8350
68.0,95,8350
69.0,111,12291
70.0,111,12291
71.0,137,13585
72.0,95,8350
73.0,95,8350
74.0,95,8350
75.0,95,8350
76.0,95,8350
77.0,95,8350
78.0,95,8350
79.0,95,8350
80.0,95,8350
81.0,95,8350
82.0,95,8350
83.0,95,8350
84.0,73,8350
85.0,73,8350
86.0,73,8350
87.0,73,8350
88.0,73,8350
89.0,73,8350
90.0,73,8350
91.0,73,8350
92.0,73,8350
93.0,73,8350
94.0,73,8350
95.0,58,8350
96.0,58,8350
97.0,58,8350
98.0,58,8350
99.0,58,8350
100.0,58,8350
101.0,37,8350
102.0,48,8350
103.0,47,8350
104.0,58,8350
105.0,65,8350
106.0,63,8350
107.0,59,8350
108.0,56,8350
109.0,55,8350
110.0,55,8350
111.0,55,8350
112.0,55,8350
113.0,55,8350
114.0,55,8350
115.0,55,8350
116.0,55,8350
117.0,32,8350
118.0,32,8350
119.0,32,8350
120.0,32,8350
121.0,32,8350
122.0,32,8350
123.0,32,8350
124.0,32,8350
125.0,32,8350
126.0,32,8350
127.0,32,8350
128.0,32,8350
129.0,32,8350
130.0,32,8350
131.0,32,8350
132.0,32,8350
133.0,32,8350
134.0,32,8350
135.0,32,8350
136.0,32,8350
137.0,32,8350
138.0,32,8350
139.0,32,8350
140.0,32,8350
141.0,32,8350
142.0,32,8350
143.0,32,8350
144.0,32,8350
145.0,32,8350
146.0,32,8350
147.0,32,8350
148.0,32,8350
149.0,32,8350
150.0,32,8350
151.0,32,8350
152.0,32,8350
153.0,32,8350
154.0,32,8350
155.0,32,8350
156.0,32,8350
157.0,32,8350
158.0,32,8350
159.0,32,8350
160.0,32,8350
161.0,32,8350
162.0,32,8350
163.0,32,8350
164.0,32,8350
165.0,32,8350
166.0,32,8350
