"tick","GRCount","STCount"
1.0,500,200
2.0,500,200
3.0,500,200
4.0,500,200
5.0,500,200
6.0,500,200
7.0,500,200
8.0,500,200
9.0,500,200
10.0,500,200
11.0,500,200
12.0,500,200
13.0,500,200
14.0,500,200
15.0,500,200
16.0,500,200
17.0,500,200
18.0,500,200
19.0,500,200
20.0,500,200
21.0,500,200
22.0,500,200
23.0,500,200
24.0,500,200
25.0,500,200
26.0,500,200
27.0,500,200
28.0,500,200
29.0,500,200
30.0,500,200
31.0,500,200
32.0,500,200
33.0,500,200
34.0,500,200
35.0,1174,200
36.0,1844,200
37.0,1844,200
38.0,2505,200
39.0,2505,200
40.0,2505,200
41.0,2505,200
42.0,2505,200
43.0,2505,200
44.0,2505,200
45.0,2505,200
46.0,2505,200
47.0,2505,200
48.0,2505,200
49.0,2505,200
50.0,2505,200
51.0,2505,200
52.0,2505,200
53.0,3168,200
54.0,4168,1572
55.0,4037,1572
56.0,4037,1572
57.0,3928,1572
58.0,3928,1572
59.0,3793,1572
60.0,3793,1572
61.0,3668,1572
62.0,3668,1572
63.0,3668,1572
64.0,3668,1572
65.0,3668,1572
66.0,3668,1572
67.0,3668,1572
68.0,3668,1572
69.0,3668,1572
70.0,3668,1572
71.0,6337,1572
72.0,6337,1572
73.0,5414,1572
74.0,5414,1572
75.0,5414,1572
76.0,5414,1572
77.0,5414,1572
78.0,5414,1572
79.0,5414,1572
80.0,5414,1572
81.0,5414,1572
82.0,5414,1572
83.0,5414,1572
84.0,5281,1572
85.0,4342,1572
86.0,4261,1572
87.0,4100,1572
88.0,4018,1572
89.0,3829,1572
90.0,3750,1572
91.0,2465,1572
92.0,2465,1572
93.0,2427,1572
94.0,2427,1572
95.0,2427,1572
96.0,2427,1572
97.0,5643,1572
98.0,5643,1572
99.0,5643,1572
100.0,8838,1572
101.0,12085,1572
102.0,12085,1572
103.0,12052,1572
104.0,11933,1572
105.0,11842,1572
106.0,11740,1572
107.0,11671,1572
108.0,11671,1572
109.0,11671,1572
110.0,11671,1572
111.0,14340,1572
112.0,16987,1572
113.0,16987,1572
114.0,21845,1572
115.0,21845,1572
116.0,29369,1572
117.0,32998,1572
