"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1.0,2.912621359223301,0.0,0.0,0.9708737864077669,0.0,0.0
2.0,3.300970873786408,0.0,0.0,1.3592233009708738,0.0,0.0
3.0,3.300970873786408,0.0,0.0,1.3592233009708738,0.0,0.0
4.0,3.300970873786408,0.0,0.0,1.5533980582524272,0.0,0.0
5.0,3.300970873786408,0.0,0.0,1.5533980582524272,0.0,0.0
6.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
7.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
8.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
9.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
10.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
11.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
12.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
13.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
14.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
15.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
16.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
17.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
18.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
19.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
20.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
21.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
22.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
23.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
24.0,3.6893203883495143,0.0,0.0,1.7475728155339807,0.0,0.0
25.0,3.6893203883495143,0.5825242718446602,0.5825242718446602,1.7475728155339807,0.0,0.0
26.0,3.6893203883495143,1.5533980582524272,1.5533980582524272,1.7475728155339807,0.0,0.0
27.0,3.6893203883495143,1.5533980582524272,1.5533980582524272,1.7475728155339807,0.0,0.0
28.0,5.242718446601942,2.1359223300970873,2.1359223300970873,1.7475728155339807,0.0,0.0
29.0,5.436893203883495,2.1359223300970873,2.1359223300970873,1.7475728155339807,0.0,0.0
30.0,7.961165048543689,2.912621359223301,2.912621359223301,1.7475728155339807,0.0,0.0
31.0,8.737864077669903,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
32.0,9.12621359223301,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
33.0,9.320388349514563,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
34.0,9.320388349514563,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
35.0,9.320388349514563,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
36.0,16.50485436893204,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.0,0.0
37.0,18.058252427184467,3.1067961165048543,3.1067961165048543,1.7475728155339807,0.9708737864077669,0.9708737864077669
38.0,19.223300970873787,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.3592233009708738,1.3592233009708738
39.0,24.660194174757283,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.3592233009708738,1.3592233009708738
40.0,26.019417475728158,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.5533980582524272,1.5533980582524272
41.0,26.019417475728158,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.7475728155339807,1.7475728155339807
42.0,26.21359223300971,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.7475728155339807,1.7475728155339807
43.0,26.21359223300971,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.7475728155339807,1.7475728155339807
44.0,26.21359223300971,3.1067961165048543,3.1067961165048543,1.7475728155339807,1.7475728155339807,1.7475728155339807
45.0,26.21359223300971,3.6893203883495143,3.6893203883495143,1.7475728155339807,1.7475728155339807,1.7475728155339807
46.0,26.21359223300971,5.436893203883495,5.436893203883495,3.300970873786408,1.7475728155339807,1.7475728155339807
47.0,26.21359223300971,6.990291262135923,6.990291262135923,3.300970873786408,1.7475728155339807,1.7475728155339807
48.0,26.21359223300971,6.601941747572816,6.601941747572816,3.300970873786408,1.7475728155339807,1.7475728155339807
49.0,34.95145631067961,7.3786407766990285,7.3786407766990285,3.300970873786408,1.7475728155339807,1.7475728155339807
50.0,37.4757281553398,7.572815533980583,7.572815533980583,3.300970873786408,1.7475728155339807,1.7475728155339807
51.0,38.44660194174757,7.3786407766990285,7.3786407766990285,3.300970873786408,1.7475728155339807,1.7475728155339807
52.0,38.44660194174757,7.3786407766990285,7.3786407766990285,3.300970873786408,1.7475728155339807,1.7475728155339807
53.0,48.54368932038835,7.3786407766990285,7.3786407766990285,3.300970873786408,1.7475728155339807,1.7475728155339807
54.0,51.6504854368932,8.54368932038835,8.54368932038835,3.300970873786408,1.7475728155339807,1.7475728155339807
55.0,52.23300970873787,8.54368932038835,8.54368932038835,3.300970873786408,1.7475728155339807,1.7475728155339807
