"tick","GRCount","STCount"
1.0,1,1400
2.0,1,1400
3.0,1,1400
4.0,1,1400
5.0,1,1400
6.0,1,1400
7.0,1,1400
8.0,1,1400
9.0,1,1400
10.0,1,1400
11.0,1,1400
12.0,1,1400
13.0,1,1400
14.0,1,1400
15.0,1,1400
16.0,1,1400
17.0,1,1400
18.0,1,1400
19.0,1,1400
20.0,1,1400
21.0,1,1400
22.0,1,1400
23.0,1,1400
24.0,1,1400
25.0,1,1482
26.0,1,1482
27.0,3,1482
28.0,3,1482
29.0,3,1891
30.0,3,1891
31.0,3,1891
32.0,3,1891
33.0,3,1891
34.0,3,1891
35.0,5,1891
36.0,5,1891
37.0,5,1891
38.0,6,1891
39.0,6,1891
40.0,6,1891
41.0,6,1891
42.0,6,1891
43.0,6,1891
44.0,6,3260
45.0,6,3260
46.0,6,3260
47.0,6,3260
48.0,6,3260
49.0,6,3260
50.0,6,3260
51.0,6,3260
52.0,7,3260
53.0,9,3260
54.0,13,3260
55.0,12,3260
56.0,12,3260
57.0,12,3260
58.0,12,3260
59.0,12,3260
60.0,12,3260
61.0,12,3260
62.0,12,3260
63.0,12,3260
64.0,12,3260
65.0,12,3260
66.0,12,3260
67.0,12,3260
68.0,12,3260
69.0,13,3904
70.0,13,3904
71.0,16,4359
72.0,16,4359
73.0,16,4359
74.0,16,4359
75.0,16,4359
76.0,16,4359
77.0,16,4359
78.0,16,4359
79.0,17,4359
80.0,20,4950
81.0,20,4950
82.0,20,4950
83.0,20,4950
84.0,15,4950
85.0,15,4950
86.0,15,4950
87.0,15,4950
88.0,14,4950
89.0,14,4950
90.0,14,4950
91.0,14,4950
92.0,14,4950
93.0,14,4950
94.0,14,4950
95.0,12,4950
96.0,11,4950
97.0,11,4950
98.0,11,4950
99.0,11,4950
100.0,11,4950
101.0,6,4950
102.0,8,7321
103.0,8,7321
104.0,11,7321
105.0,10,7321
106.0,10,7321
107.0,10,7321
108.0,10,7321
109.0,10,7321
110.0,10,7321
111.0,10,7321
112.0,10,7321
113.0,10,7321
114.0,10,7321
115.0,10,7321
116.0,10,7321
117.0,8,7321
118.0,8,7321
119.0,8,7321
120.0,8,7321
121.0,8,7321
122.0,8,7321
123.0,8,7321
124.0,8,7321
125.0,8,7321
126.0,8,7321
127.0,8,7321
128.0,8,7321
129.0,8,7321
130.0,8,7321
131.0,8,7321
132.0,8,7321
133.0,8,7321
134.0,8,7321
135.0,8,7321
136.0,8,7321
137.0,8,7321
138.0,8,7321
139.0,8,7321
140.0,8,7321
141.0,8,7321
142.0,8,7321
143.0,8,7321
144.0,8,7321
145.0,8,7321
146.0,8,7321
147.0,8,7321
148.0,8,7321
149.0,8,7321
150.0,8,7321
151.0,8,7321
152.0,8,7321
153.0,8,7321
154.0,8,7321
155.0,8,7321
156.0,8,7321
157.0,8,7321
158.0,8,7321
159.0,8,7321
160.0,8,7321
161.0,8,7321
162.0,8,7321
163.0,8,7321
164.0,8,7321
165.0,8,7321
166.0,8,7321
