"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
2.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
3.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
4.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
5.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
6.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
7.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
8.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
9.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
10.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
11.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
12.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
13.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
14.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
15.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
16.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
17.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
18.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
19.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
20.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
21.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
22.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
23.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
24.0,0.0,1.25,0.0,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
25.0,0.4326923076923077,1.25,0.4326923076923077,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
26.0,0.4326923076923077,1.25,0.4326923076923077,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
27.0,0.6730769230769231,1.25,0.6730769230769231,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
28.0,0.6730769230769231,1.25,0.6730769230769231,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
29.0,0.8173076923076924,1.25,0.8173076923076924,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
30.0,0.8173076923076924,1.25,0.8173076923076924,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
31.0,1.25,1.25,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
32.0,1.25,1.25,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
33.0,1.25,1.25,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
34.0,1.25,1.25,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
35.0,1.25,1.25,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
36.0,1.25,1.971153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
37.0,1.25,2.9326923076923075,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
38.0,1.25,2.9326923076923075,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
39.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
40.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
41.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
42.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
43.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
44.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
45.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
46.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
47.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
48.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
49.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
50.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
51.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
52.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
53.0,1.25,3.5096153846153846,1.25,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
54.0,1.3942307692307694,4.278846153846154,1.3942307692307694,6.586538461538462,6.586538461538462,6.586538461538462,2.0,0.0
55.0,1.25,4.807692307692308,1.25,23.942307692307693,6.586538461538462,6.586538461538462,2.0,0.0
56.0,1.2980769230769231,4.807692307692308,1.2980769230769231,23.942307692307693,6.586538461538462,6.586538461538462,2.0,0.0
57.0,1.5865384615384615,4.567307692307692,0.9615384615384616,23.942307692307693,2.2115384615384617,6.586538461538462,2.0,0.0
58.0,1.971153846153846,4.567307692307692,1.153846153846154,23.942307692307693,2.2115384615384617,6.586538461538462,2.0,0.0
59.0,2.2115384615384617,4.471153846153846,1.4423076923076923,23.942307692307693,2.2115384615384617,6.586538461538462,2.0,0.0
60.0,2.355769230769231,4.471153846153846,0.8653846153846154,23.942307692307693,0.0,6.586538461538462,2.0,0.0
61.0,2.1634615384615383,4.134615384615384,1.0096153846153846,23.942307692307693,0.0,6.586538461538462,2.0,0.0
62.0,2.1634615384615383,4.134615384615384,1.0096153846153846,23.942307692307693,0.0,6.586538461538462,2.0,0.0
63.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
64.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
65.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
66.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
67.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
68.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
69.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
70.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
71.0,2.403846153846154,4.134615384615384,1.1057692307692308,23.942307692307693,0.0,6.586538461538462,2.0,0.0
72.0,2.403846153846154,5.625,1.1057692307692308,23.942307692307693,0.0,6.634615384615385,2.0,0.0
73.0,2.5961538461538463,5.625,1.1057692307692308,23.942307692307693,0.19230769230769232,6.971153846153847,2.0,0.0
74.0,3.125,5.625,1.3942307692307694,23.942307692307693,0.6730769230769231,7.788461538461538,2.0,0.0
75.0,3.5096153846153846,5.625,1.5384615384615385,23.942307692307693,1.4903846153846154,9.326923076923077,2.0,0.0
76.0,3.894230769230769,5.625,1.7788461538461537,23.942307692307693,2.5,11.442307692307692,2.0,0.0
77.0,4.134615384615384,5.625,1.971153846153846,23.942307692307693,4.375,14.134615384615385,2.0,0.0
78.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,3.076923076923077,16.538461538461537,2.0,0.0
79.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,3.798076923076923,18.461538461538463,2.0,0.0
80.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,4.471153846153846,20.14423076923077,2.0,0.0
81.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,4.807692307692308,21.394230769230766,2.0,0.0
82.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,5.096153846153846,22.01923076923077,2.0,0.0
83.0,4.134615384615384,5.625,1.0576923076923077,23.942307692307693,5.240384615384616,22.596153846153847,2.0,0.0
84.0,3.221153846153846,4.759615384615384,0.0,23.942307692307693,0.0,23.028846153846153,2.0,0.0
85.0,2.980769230769231,4.567307692307692,0.0,23.942307692307693,0.0,23.46153846153846,2.0,0.0
86.0,3.3653846153846154,4.567307692307692,0.09615384615384616,23.942307692307693,0.0,23.75,2.0,0.0
87.0,3.4615384615384617,4.1826923076923075,0.19230769230769232,23.942307692307693,0.0,23.89423076923077,2.0,0.0
88.0,3.798076923076923,4.134615384615384,0.4326923076923077,23.942307692307693,0.0,23.942307692307693,2.0,0.0
89.0,3.8461538461538463,3.8461538461538463,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
90.0,3.798076923076923,3.798076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
91.0,3.5576923076923075,3.5576923076923075,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
92.0,3.5576923076923075,3.5576923076923075,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
93.0,3.3653846153846154,3.3653846153846154,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
94.0,3.3653846153846154,3.3653846153846154,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
95.0,2.355769230769231,2.355769230769231,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
96.0,2.355769230769231,2.355769230769231,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
97.0,2.355769230769231,2.355769230769231,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
98.0,2.355769230769231,3.894230769230769,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
99.0,2.355769230769231,3.894230769230769,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
100.0,2.355769230769231,3.894230769230769,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
101.0,1.6826923076923077,4.567307692307692,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
102.0,1.6826923076923077,5.5769230769230775,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
103.0,1.6826923076923077,5.5769230769230775,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
104.0,1.4903846153846154,5.384615384615385,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
105.0,1.3461538461538463,5.240384615384616,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
106.0,1.153846153846154,5.096153846153846,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
107.0,1.0576923076923077,5.048076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
108.0,1.0576923076923077,5.048076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
109.0,1.0576923076923077,5.048076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
110.0,1.0576923076923077,5.048076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
111.0,1.0576923076923077,5.048076923076923,0.4807692307692308,23.942307692307693,0.0,23.942307692307693,2.0,0.0
112.0,1.4903846153846154,5.528846153846153,0.7211538461538461,23.942307692307693,0.0,23.942307692307693,2.0,0.0
113.0,1.875,5.865384615384615,1.0096153846153846,23.942307692307693,0.0,23.942307692307693,2.0,0.0
114.0,2.2596153846153846,5.865384615384615,1.201923076923077,23.942307692307693,0.0,23.942307692307693,2.0,0.0
115.0,3.0288461538461537,6.6826923076923075,1.875,23.942307692307693,0.0,23.942307692307693,2.0,0.0
116.0,3.653846153846154,6.6826923076923075,2.355769230769231,23.942307692307693,0.0,23.942307692307693,2.0,0.0
117.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
118.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
119.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
120.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
121.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
122.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
123.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
124.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
125.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
126.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
127.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
128.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
129.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
130.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
131.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
132.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
133.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
134.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
135.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
136.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
137.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
138.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
139.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
140.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
141.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
142.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
143.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
144.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
145.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
146.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
147.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
148.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
149.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
150.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
151.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
152.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
153.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
154.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
155.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
156.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
157.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
158.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
159.0,2.6923076923076925,6.538461538461539,2.6923076923076925,23.942307692307693,0.0,23.942307692307693,2.0,0.0
