"tick","GRCount","STCount"
1.0,160,7200
2.0,160,7200
3.0,160,7200
4.0,160,7200
5.0,160,7200
6.0,160,7200
7.0,160,7200
8.0,160,7200
9.0,160,7200
10.0,160,7200
11.0,160,7200
12.0,160,7200
13.0,160,7200
14.0,160,7200
15.0,160,7200
16.0,160,7200
17.0,160,7200
18.0,160,7200
19.0,160,7200
20.0,160,7200
21.0,160,7200
22.0,160,7200
23.0,160,7200
24.0,160,7200
25.0,160,7200
26.0,160,8334
27.0,271,8334
28.0,271,8334
29.0,434,8334
30.0,434,8334
31.0,434,8334
32.0,434,8334
33.0,434,8334
34.0,434,8334
35.0,754,8334
36.0,754,8334
37.0,754,8334
38.0,974,8334
39.0,974,8334
40.0,974,8334
41.0,974,8334
42.0,974,8334
43.0,974,8334
44.0,974,8334
45.0,974,53676
46.0,974,53676
47.0,974,53676
48.0,1406,53676
49.0,1839,53676
50.0,1839,53676
51.0,1839,53676
52.0,2441,53676
53.0,3027,53676
54.0,3027,53676
55.0,3027,53676
56.0,3027,53676
57.0,3027,53676
58.0,3027,53676
59.0,3027,53676
60.0,3027,53676
61.0,3027,53676
62.0,3027,53676
63.0,3027,53676
64.0,3027,53676
65.0,3027,53676
66.0,3027,53676
67.0,3027,53676
68.0,3027,53676
69.0,4313,53676
70.0,4313,59167
71.0,5594,59167
72.0,5594,65291
73.0,5594,65291
74.0,5594,65291
75.0,5594,65291
76.0,5594,65291
77.0,5594,65291
78.0,5594,65291
79.0,9444,65291
80.0,13411,65291
81.0,13411,76849
82.0,13411,76849
83.0,13411,76849
84.0,12628,76849
85.0,12628,76849
86.0,12628,76849
87.0,12628,76849
88.0,12628,76849
89.0,12628,76849
90.0,12628,76849
91.0,12628,76849
92.0,12628,76849
93.0,12628,76849
94.0,12628,76849
95.0,11228,76849
96.0,11228,76849
97.0,11228,76849
98.0,11228,76849
99.0,11228,76849
100.0,11228,76849
101.0,22783,76849
102.0,33385,76849
103.0,33385,76849
104.0,33975,86574
105.0,34587,86574
106.0,34587,86574
107.0,34587,86574
108.0,34587,86574
109.0,34587,86574
110.0,34587,86574
111.0,34587,86574
112.0,34587,86574
113.0,35257,86574
114.0,35257,86574
115.0,35257,86574
116.0,35257,86574
117.0,25125,86574
118.0,25125,86574
119.0,25125,86574
120.0,25125,86574
121.0,25125,86574
122.0,25125,86574
123.0,25125,86574
124.0,25125,86574
125.0,25125,86574
126.0,25125,86574
127.0,25125,86574
128.0,25125,86574
129.0,25125,86574
130.0,25125,86574
131.0,25125,86574
132.0,25125,86574
133.0,25125,86574
134.0,25125,86574
135.0,25125,86574
136.0,25125,86574
137.0,25125,86574
138.0,25125,86574
139.0,25125,86574
140.0,25125,86574
141.0,25125,86574
142.0,25125,86574
143.0,25125,86574
144.0,25125,86574
145.0,25125,86574
146.0,25125,86574
147.0,25125,86574
148.0,25125,86574
149.0,25125,86574
150.0,25125,86574
151.0,25125,86574
152.0,25125,86574
153.0,25125,86574
154.0,25125,86574
155.0,25125,86574
156.0,25125,86574
157.0,25125,86574
158.0,25125,86574
159.0,25125,86574
160.0,25125,86574
161.0,25125,86574
162.0,25125,86574
163.0,25125,86574
164.0,25125,86574
165.0,25125,86574
166.0,25125,86574
