"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1.0,5150000.0,3.1067961165048543,0.0,0.0,25.24271844660194,0.0,0.0
2.0,5150000.0,9.70873786407767,0.0,0.0,62.912621359223294,0.0,0.0
3.0,5150000.0,11.650485436893204,0.0,0.0,69.90291262135922,0.0,0.0
4.0,5150000.0,12.62135922330097,0.0,0.0,71.84466019417476,0.0,0.0
5.0,5150000.0,12.62135922330097,0.0,0.0,73.7864077669903,0.0,0.0
6.0,5150000.0,12.815533980582524,0.0,0.0,74.36893203883496,0.0,0.0
7.0,5150000.0,12.815533980582524,0.0,0.0,74.36893203883496,0.0,0.0
8.0,5150000.0,12.815533980582524,0.0,0.0,74.75728155339806,0.0,0.0
9.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
10.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
11.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
12.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
13.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
14.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
15.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
16.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
17.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
18.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
19.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
20.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
21.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
22.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
23.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
24.0,5150000.0,13.009708737864079,0.0,0.0,74.75728155339806,0.0,0.0
25.0,5150000.0,13.009708737864079,2.7184466019417477,2.7184466019417477,74.75728155339806,0.0,0.0
26.0,5150000.0,13.009708737864079,4.466019417475728,4.466019417475728,74.75728155339806,0.0,0.0
27.0,5150000.0,13.009708737864079,4.466019417475728,4.466019417475728,74.75728155339806,0.0,0.0
28.0,5150000.0,17.281553398058254,6.213592233009709,6.213592233009709,74.75728155339806,0.0,0.0
29.0,5150000.0,18.446601941747574,6.213592233009709,6.213592233009709,74.75728155339806,0.0,0.0
30.0,5150000.0,27.57281553398058,9.320388349514563,9.320388349514563,74.75728155339806,60.19417475728155,60.19417475728155
31.0,5150000.0,29.320388349514566,9.514563106796116,9.514563106796116,74.75728155339806,68.73786407766991,68.73786407766991
32.0,5150000.0,29.902912621359224,9.320388349514563,9.320388349514563,74.75728155339806,70.48543689320388,70.48543689320388
33.0,5150000.0,30.097087378640776,9.514563106796116,9.514563106796116,74.75728155339806,71.84466019417476,71.84466019417476
34.0,5150000.0,30.29126213592233,9.320388349514563,9.320388349514563,74.75728155339806,72.62135922330097,72.62135922330097
35.0,5150000.0,30.29126213592233,9.320388349514563,9.320388349514563,74.75728155339806,73.20388349514563,73.20388349514563
36.0,5150000.0,46.019417475728154,9.320388349514563,9.320388349514563,74.75728155339806,73.7864077669903,73.7864077669903
37.0,5150000.0,48.737864077669904,9.320388349514563,9.320388349514563,74.75728155339806,74.1747572815534,74.1747572815534
38.0,5150000.0,49.90291262135923,9.514563106796116,9.514563106796116,74.75728155339806,74.5631067961165,74.5631067961165
39.0,5150000.0,61.74757281553398,9.320388349514563,9.320388349514563,74.75728155339806,74.75728155339806,74.75728155339806
40.0,5150000.0,63.30097087378641,9.514563106796116,9.514563106796116,74.75728155339806,74.75728155339806,74.75728155339806
41.0,5150000.0,64.07766990291263,9.514563106796116,9.514563106796116,74.75728155339806,74.75728155339806,74.75728155339806
42.0,5150000.0,64.85436893203882,9.320388349514563,9.320388349514563,74.75728155339806,74.75728155339806,74.75728155339806
43.0,5150000.0,65.24271844660194,9.320388349514563,9.320388349514563,74.75728155339806,74.75728155339806,74.75728155339806
44.0,5150000.0,65.24271844660194,9.320388349514563,9.320388349514563,74.75728155339806,74.75728155339806,74.75728155339806
45.0,5150000.0,65.24271844660194,12.03883495145631,12.03883495145631,74.75728155339806,74.75728155339806,74.75728155339806
46.0,5150000.0,65.24271844660194,18.25242718446602,18.25242718446602,100.0,74.75728155339806,74.75728155339806
47.0,5150000.0,65.24271844660194,21.16504854368932,21.16504854368932,100.0,74.75728155339806,74.75728155339806
48.0,5150000.0,65.4368932038835,21.553398058252426,21.553398058252426,100.0,74.75728155339806,74.75728155339806
49.0,5150000.0,80.58252427184466,22.330097087378643,22.330097087378643,100.0,74.75728155339806,74.75728155339806
50.0,5150000.0,84.07766990291262,22.330097087378643,22.330097087378643,100.0,74.75728155339806,74.75728155339806
51.0,5150000.0,84.85436893203884,22.52427184466019,22.52427184466019,100.0,74.75728155339806,74.75728155339806
52.0,5150000.0,85.43689320388349,22.9126213592233,22.9126213592233,100.0,74.75728155339806,74.75728155339806
53.0,5150000.0,92.81553398058252,22.9126213592233,22.9126213592233,100.0,74.75728155339806,74.75728155339806
54.0,5150000.0,95.33980582524272,26.019417475728158,26.019417475728158,100.0,74.75728155339806,74.75728155339806
55.0,5150000.0,95.72815533980582,26.796116504854368,26.796116504854368,100.0,74.75728155339806,74.75728155339806
