"tick","BefallGR","BefallGRsicht","BefallGRertrag"
1.0,3.6893203883495143,0.0,0.0
2.0,4.271844660194175,0.0,0.0
3.0,4.466019417475728,0.0,0.0
4.0,4.660194174757281,0.0,0.0
5.0,5.242718446601942,0.0,0.0
6.0,5.631067961165048,0.0,0.0
7.0,5.631067961165048,0.0,0.0
8.0,5.631067961165048,0.0,0.0
9.0,5.631067961165048,0.0,0.0
10.0,5.825242718446602,0.0,0.0
11.0,5.825242718446602,0.0,0.0
12.0,5.825242718446602,0.0,0.0
13.0,5.825242718446602,0.0,0.0
14.0,5.825242718446602,0.0,0.0
15.0,5.825242718446602,0.0,0.0
16.0,5.825242718446602,0.0,0.0
17.0,5.825242718446602,0.0,0.0
18.0,5.825242718446602,0.0,0.0
19.0,5.825242718446602,0.0,0.0
20.0,5.825242718446602,0.0,0.0
21.0,5.825242718446602,0.0,0.0
22.0,5.825242718446602,0.0,0.0
23.0,5.825242718446602,0.0,0.0
24.0,5.825242718446602,0.0,0.0
25.0,5.825242718446602,0.1941747572815534,0.1941747572815534
26.0,5.825242718446602,0.7766990291262136,0.7766990291262136
27.0,5.825242718446602,0.7766990291262136,0.7766990291262136
28.0,6.407766990291262,2.524271844660194,2.524271844660194
29.0,6.601941747572816,2.524271844660194,2.524271844660194
30.0,9.320388349514563,3.8834951456310676,3.8834951456310676
31.0,9.70873786407767,3.8834951456310676,3.8834951456310676
32.0,9.902912621359224,3.8834951456310676,3.8834951456310676
33.0,9.902912621359224,4.077669902912621,4.077669902912621
34.0,10.29126213592233,4.077669902912621,4.077669902912621
35.0,10.29126213592233,4.077669902912621,4.077669902912621
36.0,20.58252427184466,4.077669902912621,4.077669902912621
37.0,22.330097087378643,3.8834951456310676,3.8834951456310676
38.0,23.106796116504853,4.077669902912621,4.077669902912621
39.0,31.06796116504854,3.8834951456310676,3.8834951456310676
40.0,31.844660194174757,3.8834951456310676,3.8834951456310676
41.0,32.62135922330097,3.8834951456310676,3.8834951456310676
42.0,32.81553398058252,3.8834951456310676,3.8834951456310676
43.0,32.81553398058252,3.8834951456310676,3.8834951456310676
44.0,32.81553398058252,4.077669902912621,4.077669902912621
45.0,33.00970873786408,4.271844660194175,4.271844660194175
46.0,33.00970873786408,5.048543689320388,5.048543689320388
47.0,33.00970873786408,5.825242718446602,5.825242718446602
48.0,33.00970873786408,6.019417475728155,6.019417475728155
49.0,41.16504854368932,7.3786407766990285,7.3786407766990285
50.0,44.85436893203884,7.3786407766990285,7.3786407766990285
51.0,45.63106796116505,7.184466019417475,7.184466019417475
52.0,45.8252427184466,7.184466019417475,7.184466019417475
53.0,55.72815533980583,7.3786407766990285,7.3786407766990285
