"tick","GRCount","STCount"
1.0,20,700
2.0,20,700
3.0,20,700
4.0,20,700
5.0,20,700
6.0,20,700
7.0,20,700
8.0,20,700
9.0,20,700
10.0,20,700
11.0,20,700
12.0,20,700
13.0,20,700
14.0,20,700
15.0,20,700
16.0,20,700
17.0,20,700
18.0,20,700
19.0,20,700
20.0,20,700
21.0,20,700
22.0,20,700
23.0,20,700
24.0,20,700
25.0,20,700
26.0,20,808
27.0,35,808
28.0,35,808
29.0,57,808
30.0,57,808
31.0,57,808
32.0,57,808
33.0,57,808
34.0,57,808
35.0,97,808
36.0,97,808
37.0,97,808
38.0,127,808
39.0,127,808
40.0,127,808
41.0,127,808
42.0,127,808
43.0,127,808
44.0,127,808
45.0,127,4694
46.0,127,4694
47.0,127,4694
48.0,198,4694
49.0,261,4694
50.0,261,4694
51.0,261,4694
52.0,338,4694
53.0,412,4694
54.0,412,4694
55.0,412,4694
56.0,412,4694
57.0,412,4694
58.0,412,4694
59.0,412,4694
60.0,412,4694
61.0,412,4694
62.0,412,4694
63.0,412,4694
64.0,412,4694
65.0,412,4694
66.0,412,4694
67.0,412,4694
68.0,412,4694
69.0,583,4694
70.0,583,5273
71.0,754,5273
72.0,412,5356
73.0,412,5356
74.0,412,5356
75.0,412,5356
76.0,412,5356
77.0,412,5356
78.0,412,5356
79.0,412,5356
80.0,412,5356
81.0,412,5356
82.0,412,5356
83.0,412,5356
84.0,318,5356
85.0,318,5356
86.0,318,5356
87.0,318,5356
88.0,318,5356
89.0,318,5356
90.0,318,5356
91.0,318,5356
92.0,318,5356
93.0,318,5356
94.0,318,5356
95.0,204,5356
96.0,204,5356
97.0,204,5356
98.0,204,5356
99.0,204,5356
100.0,204,5356
101.0,366,5356
102.0,502,5356
103.0,502,5356
104.0,244,7155
105.0,244,7155
106.0,244,7155
107.0,244,7155
108.0,244,7155
109.0,244,7155
110.0,244,7155
111.0,244,7155
112.0,244,7155
113.0,244,7155
114.0,244,7155
115.0,244,7155
116.0,244,7155
117.0,101,7155
118.0,101,7155
119.0,101,7155
120.0,101,7155
121.0,101,7155
122.0,101,7155
123.0,101,7155
124.0,101,7155
125.0,101,7155
126.0,101,7155
127.0,101,7155
128.0,101,7155
129.0,101,7155
130.0,101,7155
131.0,101,7155
132.0,101,7155
133.0,101,7155
134.0,101,7155
135.0,101,7155
136.0,101,7155
137.0,101,7155
138.0,101,7155
139.0,101,7155
140.0,101,7155
141.0,101,7155
142.0,101,7155
143.0,101,7155
144.0,101,7155
145.0,101,7155
146.0,101,7155
147.0,101,7155
148.0,101,7155
149.0,101,7155
150.0,101,7155
151.0,101,7155
152.0,101,7155
153.0,101,7155
154.0,101,7155
155.0,101,7155
156.0,101,7155
157.0,101,7155
158.0,101,7155
159.0,101,7155
160.0,101,7155
161.0,101,7155
162.0,101,7155
163.0,101,7155
164.0,101,7155
165.0,101,7155
166.0,101,7155
