"tick","GRCount","STCount"
1.0,200,200
2.0,200,200
3.0,200,200
4.0,200,200
5.0,200,200
6.0,200,200
7.0,200,200
8.0,200,200
9.0,200,200
10.0,200,200
11.0,200,200
12.0,200,200
13.0,200,200
14.0,200,200
15.0,200,200
16.0,200,200
17.0,200,200
18.0,200,200
19.0,200,200
20.0,200,200
21.0,200,200
22.0,200,200
23.0,200,200
24.0,200,200
25.0,200,200
26.0,200,200
27.0,200,200
28.0,200,200
29.0,200,200
30.0,200,200
31.0,200,200
32.0,200,200
33.0,200,200
34.0,200,200
35.0,200,200
36.0,200,200
37.0,200,200
38.0,200,200
39.0,200,200
40.0,200,200
41.0,462,200
42.0,726,200
43.0,726,200
44.0,726,200
45.0,726,200
46.0,726,200
47.0,726,200
48.0,726,200
49.0,726,200
50.0,994,200
51.0,994,200
52.0,1264,200
53.0,1517,977
54.0,1466,977
55.0,1466,977
56.0,1412,977
57.0,1412,977
58.0,1355,977
59.0,2142,977
60.0,2104,977
61.0,2104,977
62.0,2811,977
63.0,3507,977
64.0,3507,977
65.0,3507,977
66.0,3507,977
67.0,3507,977
68.0,3507,977
69.0,3507,977
70.0,3507,977
71.0,3507,977
72.0,3507,977
73.0,3507,977
74.0,3507,977
75.0,3507,977
76.0,3507,977
77.0,3507,977
78.0,3507,977
79.0,3507,977
80.0,3507,977
81.0,3507,977
82.0,8215,977
83.0,8215,977
84.0,7889,977
85.0,7774,977
86.0,7681,977
87.0,7637,977
88.0,7540,977
89.0,7488,977
90.0,7488,977
91.0,7488,977
92.0,7488,977
93.0,7488,977
94.0,11030,977
95.0,10248,977
96.0,10176,977
97.0,10079,977
98.0,10020,977
99.0,9965,977
100.0,9931,977
101.0,8180,977
102.0,8083,977
103.0,7986,977
104.0,7877,977
105.0,7690,977
106.0,7516,977
107.0,7335,977
108.0,7170,977
109.0,7086,977
110.0,7086,977
111.0,7086,977
112.0,7086,977
113.0,7086,977
114.0,7086,977
115.0,7086,977
116.0,7086,977
117.0,5043,977
118.0,5043,977
119.0,5043,977
120.0,5043,977
121.0,5043,977
122.0,5043,977
123.0,5043,977
124.0,5043,977
125.0,5043,977
126.0,5043,977
127.0,5043,977
128.0,5043,977
129.0,5043,977
130.0,5043,977
131.0,5043,977
132.0,5043,977
133.0,5043,977
134.0,5043,977
135.0,5043,977
136.0,5043,977
137.0,5043,977
138.0,5043,977
139.0,5043,977
140.0,5043,977
141.0,5043,977
142.0,5043,977
143.0,5043,977
144.0,5043,977
145.0,5043,977
146.0,5043,977
147.0,5043,977
148.0,5043,977
149.0,5043,977
150.0,5043,977
151.0,5043,977
152.0,5043,977
153.0,5043,977
154.0,5043,977
155.0,5043,977
156.0,5043,977
157.0,5043,977
158.0,5043,977
159.0,5043,977
160.0,5043,977
161.0,5043,977
162.0,5043,977
163.0,5043,977
164.0,5043,977
165.0,5043,977
166.0,5043,977
