"tick","GRCount","STCount"
1.0,51,501
2.0,51,501
3.0,51,501
4.0,51,501
5.0,51,501
6.0,51,501
7.0,51,501
8.0,51,501
9.0,51,501
10.0,51,501
11.0,51,501
12.0,51,501
13.0,51,501
14.0,51,501
15.0,51,501
16.0,51,501
17.0,51,501
18.0,51,501
19.0,51,501
20.0,51,501
21.0,51,501
22.0,51,501
23.0,51,501
24.0,51,501
25.0,51,501
26.0,51,501
27.0,51,501
28.0,51,501
29.0,51,501
30.0,51,501
31.0,51,501
32.0,51,501
33.0,51,501
34.0,51,501
35.0,51,501
36.0,51,501
37.0,51,501
38.0,51,501
39.0,51,501
40.0,51,501
41.0,51,501
42.0,51,501
43.0,51,501
44.0,51,501
45.0,51,501
46.0,51,501
47.0,51,501
48.0,51,501
49.0,51,501
50.0,51,501
51.0,51,501
52.0,51,501
53.0,51,501
54.0,51,501
55.0,51,501
56.0,51,501
57.0,51,501
58.0,51,501
59.0,51,501
60.0,51,501
61.0,51,501
62.0,51,501
63.0,51,501
64.0,51,501
65.0,51,501
66.0,51,501
67.0,51,501
68.0,51,501
69.0,51,501
70.0,51,501
71.0,51,501
72.0,51,501
73.0,51,501
74.0,51,501
75.0,51,501
76.0,51,501
77.0,51,501
78.0,51,501
79.0,51,501
80.0,51,501
81.0,51,501
82.0,51,501
83.0,51,501
84.0,51,501
85.0,51,501
86.0,51,501
87.0,34,501
88.0,34,501
89.0,34,501
90.0,34,501
91.0,34,501
92.0,34,501
93.0,34,501
94.0,34,501
95.0,34,501
96.0,34,501
97.0,34,501
98.0,12,501
99.0,12,501
100.0,12,501
101.0,18,501
102.0,18,501
103.0,18,501
104.0,6,501
105.0,6,501
106.0,6,501
107.0,6,501
108.0,6,501
109.0,6,501
110.0,6,501
111.0,6,501
112.0,6,501
113.0,6,501
114.0,6,501
115.0,6,501
116.0,6,501
117.0,6,501
118.0,6,501
119.0,6,501
120.0,4,501
121.0,4,501
122.0,4,501
123.0,4,501
124.0,4,501
125.0,4,501
126.0,4,501
127.0,4,501
128.0,4,501
129.0,4,501
130.0,4,501
131.0,4,501
132.0,4,501
133.0,4,501
134.0,4,501
135.0,4,501
136.0,4,501
137.0,4,501
138.0,4,501
139.0,4,501
140.0,4,501
141.0,4,501
142.0,4,501
143.0,4,501
144.0,4,501
145.0,4,501
146.0,4,501
147.0,4,501
148.0,4,501
149.0,4,501
150.0,4,501
151.0,4,501
152.0,4,501
153.0,4,501
154.0,4,501
155.0,4,501
156.0,4,501
157.0,4,501
158.0,4,501
159.0,4,501
160.0,4,501
161.0,4,501
162.0,4,501
163.0,4,501
164.0,4,501
165.0,4,501
166.0,4,501
