"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
2.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
3.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
4.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
5.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
6.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
7.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
8.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
9.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
10.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
11.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
12.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
13.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
14.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
15.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
16.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
17.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
18.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
19.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
20.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
21.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
22.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
23.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
24.0,0.0,61.44230769230769,0.0,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
25.0,21.586538461538463,61.44230769230769,21.586538461538463,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
26.0,21.586538461538463,61.44230769230769,21.586538461538463,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
27.0,38.99038461538461,61.44230769230769,38.99038461538461,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
28.0,38.99038461538461,61.44230769230769,38.99038461538461,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
29.0,51.05769230769231,61.44230769230769,51.05769230769231,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
30.0,51.05769230769231,61.44230769230769,51.05769230769231,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
31.0,61.44230769230769,61.44230769230769,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
32.0,61.44230769230769,61.44230769230769,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
33.0,61.44230769230769,61.44230769230769,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
34.0,61.44230769230769,61.44230769230769,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
35.0,61.44230769230769,61.44230769230769,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
36.0,61.44230769230769,87.78846153846153,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
37.0,61.44230769230769,95.38461538461539,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
38.0,61.44230769230769,95.38461538461539,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
39.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
40.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
41.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
42.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
43.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
44.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
45.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
46.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
47.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
48.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
49.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
50.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
51.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
52.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
53.0,61.44230769230769,97.6923076923077,61.44230769230769,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
54.0,71.49038461538461,98.65384615384616,71.49038461538461,9.182692307692308,9.182692307692308,9.182692307692308,1.0,0.0
55.0,78.89423076923077,99.75961538461539,78.89423076923077,50.0,9.182692307692308,9.182692307692308,1.0,0.0
56.0,84.42307692307692,99.75961538461539,84.42307692307692,50.0,9.182692307692308,9.182692307692308,1.0,0.0
57.0,89.85576923076923,99.75961538461539,75.04807692307692,50.0,3.173076923076923,9.182692307692308,1.0,0.0
58.0,91.77884615384615,99.75961538461539,78.99038461538461,50.0,3.173076923076923,9.182692307692308,1.0,0.0
59.0,94.13461538461539,99.75961538461539,85.67307692307692,50.0,3.173076923076923,9.182692307692308,1.0,0.0
60.0,95.33653846153847,99.75961538461539,72.9326923076923,50.0,0.0,9.182692307692308,1.0,0.0
61.0,97.01923076923077,99.75961538461539,79.75961538461539,50.0,0.0,9.182692307692308,1.0,0.0
