"tick","GRCount","STCount"
1.0,1,1200
2.0,1,1200
3.0,1,1200
4.0,1,1200
5.0,1,1200
6.0,1,1200
7.0,1,1200
8.0,1,1200
9.0,1,1200
10.0,1,1200
11.0,1,1200
12.0,1,1200
13.0,1,1200
14.0,1,1200
15.0,1,1200
16.0,1,1200
17.0,1,1200
18.0,1,1200
19.0,1,1200
20.0,1,1200
21.0,1,1200
22.0,1,1200
23.0,1,1200
24.0,1,1200
25.0,1,1281
26.0,1,1281
27.0,1,1281
28.0,1,1281
29.0,1,1650
30.0,1,1650
31.0,1,1650
32.0,1,1650
33.0,1,1650
34.0,1,1650
35.0,1,1650
36.0,1,1650
37.0,1,1650
38.0,3,1650
39.0,3,1650
40.0,3,1650
41.0,3,1650
42.0,3,1650
43.0,3,1650
44.0,3,4337
45.0,3,4337
46.0,3,4337
47.0,3,4337
48.0,3,4337
49.0,4,4337
50.0,4,4337
51.0,4,4337
52.0,4,4337
53.0,5,4337
54.0,6,4337
55.0,6,4337
56.0,6,4337
57.0,6,4337
58.0,6,4337
59.0,6,4337
60.0,5,4337
61.0,5,4337
62.0,5,4337
63.0,5,4337
64.0,5,4337
65.0,5,4337
66.0,5,4337
67.0,5,4337
68.0,5,4337
69.0,6,4855
70.0,6,4855
71.0,8,5242
72.0,8,5242
73.0,8,5242
74.0,8,5242
75.0,8,5242
76.0,8,5242
77.0,8,5242
78.0,8,5242
79.0,11,5242
80.0,12,5982
81.0,12,5982
82.0,12,5982
83.0,12,5982
84.0,11,5982
85.0,11,5982
86.0,11,5982
87.0,11,5982
88.0,11,5982
89.0,11,5982
90.0,11,5982
91.0,11,5982
92.0,11,5982
93.0,11,5982
94.0,10,5982
95.0,8,5982
96.0,8,5982
97.0,8,5982
98.0,8,5982
99.0,8,5982
100.0,8,5982
101.0,10,5982
102.0,12,6881
103.0,12,6881
104.0,14,6881
105.0,15,6881
106.0,15,6881
107.0,15,6881
108.0,14,6881
109.0,14,6881
110.0,14,6881
111.0,14,6881
112.0,14,6881
113.0,14,6881
114.0,16,6881
115.0,16,6881
116.0,16,6881
117.0,12,6881
118.0,12,6881
119.0,12,6881
120.0,12,6881
121.0,12,6881
122.0,12,6881
123.0,12,6881
124.0,12,6881
125.0,12,6881
126.0,12,6881
127.0,12,6881
128.0,12,6881
129.0,12,6881
130.0,12,6881
131.0,12,6881
132.0,12,6881
133.0,12,6881
134.0,12,6881
135.0,12,6881
136.0,12,6881
137.0,12,6881
138.0,12,6881
139.0,12,6881
140.0,12,6881
141.0,12,6881
142.0,12,6881
143.0,12,6881
144.0,12,6881
145.0,12,6881
146.0,12,6881
147.0,12,6881
148.0,12,6881
149.0,12,6881
150.0,12,6881
151.0,12,6881
152.0,12,6881
153.0,12,6881
154.0,12,6881
155.0,12,6881
156.0,12,6881
157.0,12,6881
158.0,12,6881
159.0,12,6881
160.0,12,6881
161.0,12,6881
162.0,12,6881
163.0,12,6881
164.0,12,6881
165.0,12,6881
166.0,12,6881
