"tick","GRCount","STCount"
1.0,2000,200
2.0,2000,200
3.0,2000,200
4.0,2000,200
5.0,2000,200
6.0,2000,200
7.0,2000,200
8.0,2000,200
9.0,2000,200
10.0,2000,200
11.0,2000,200
12.0,2000,200
13.0,2000,200
14.0,2000,200
15.0,2000,200
16.0,2000,200
17.0,2000,200
18.0,2000,200
19.0,2000,200
20.0,2000,200
21.0,2000,200
22.0,2000,200
23.0,2000,200
24.0,2000,200
25.0,2000,200
26.0,2000,200
27.0,2000,200
28.0,2000,200
29.0,2000,200
30.0,2000,200
31.0,2000,200
32.0,2000,200
33.0,2000,200
34.0,2000,200
35.0,4710,200
36.0,7384,200
37.0,7384,200
38.0,10046,200
39.0,10046,200
40.0,10046,200
41.0,10046,200
42.0,10046,200
43.0,10046,200
44.0,10046,200
45.0,10046,200
46.0,10046,200
47.0,10046,200
48.0,10046,200
49.0,10046,200
50.0,10046,200
51.0,10046,200
52.0,10046,200
53.0,12740,200
54.0,16740,1558
55.0,16740,1558
56.0,16740,1558
57.0,16740,1558
58.0,16740,1558
59.0,16740,1558
60.0,16740,1558
61.0,16740,1558
