"tick","GRCount","STCount"
1.0,11,2400
2.0,11,2400
3.0,11,2400
4.0,11,2400
5.0,11,2400
6.0,11,2400
7.0,11,2400
8.0,11,2400
9.0,11,2400
10.0,11,2400
11.0,11,2400
12.0,11,2400
13.0,11,2400
14.0,11,2400
15.0,11,2400
16.0,11,2400
17.0,11,2400
18.0,11,2400
19.0,11,2400
20.0,11,2400
21.0,11,2400
22.0,11,2400
23.0,11,2400
24.0,11,2400
25.0,11,2400
26.0,11,2400
27.0,11,2400
28.0,11,2400
29.0,11,2400
30.0,11,2400
31.0,11,2400
32.0,21,2400
33.0,21,2400
34.0,21,2400
35.0,28,2400
36.0,35,2400
37.0,35,2400
38.0,43,2400
39.0,43,2400
40.0,43,2400
41.0,43,2400
42.0,43,2400
43.0,43,2400
44.0,43,2400
45.0,43,2400
46.0,43,2400
47.0,43,2400
48.0,43,2400
49.0,43,2400
50.0,43,2400
51.0,43,2400
52.0,43,2400
53.0,54,8043
54.0,68,9804
55.0,65,9804
56.0,65,9804
57.0,64,9804
58.0,64,9804
59.0,58,9804
60.0,58,9804
61.0,57,9804
62.0,57,9804
63.0,57,9804
64.0,57,9804
65.0,57,9804
66.0,57,9804
67.0,57,9804
68.0,57,9804
69.0,57,9804
70.0,57,9804
71.0,81,9804
72.0,81,9804
73.0,81,9804
74.0,81,9804
75.0,81,9804
76.0,81,9804
77.0,81,9804
78.0,81,9804
79.0,81,9804
80.0,81,9804
81.0,79,9804
82.0,79,9804
83.0,77,9804
84.0,68,9804
85.0,63,9804
86.0,61,9804
87.0,53,9804
88.0,51,9804
89.0,49,9804
90.0,49,9804
91.0,77,9804
92.0,77,9804
93.0,76,9804
94.0,76,9804
95.0,64,9804
96.0,64,9804
97.0,64,9804
98.0,64,9804
99.0,88,9804
100.0,113,29851
101.0,117,29851
102.0,117,29851
103.0,116,29851
104.0,115,29851
105.0,115,29851
106.0,114,29851
107.0,113,29851
108.0,113,29851
109.0,113,29851
110.0,113,29851
111.0,153,29851
112.0,153,29851
113.0,195,32232
114.0,195,34646
115.0,248,34646
116.0,304,37013
117.0,290,37013
118.0,290,37013
119.0,290,37013
120.0,290,37013
121.0,290,37013
122.0,290,37013
123.0,290,37013
124.0,290,37013
125.0,290,37013
126.0,290,37013
127.0,290,37013
128.0,290,37013
129.0,290,37013
130.0,290,37013
131.0,290,37013
132.0,290,37013
133.0,290,37013
134.0,290,37013
135.0,290,37013
136.0,290,37013
137.0,290,37013
138.0,290,37013
139.0,290,37013
140.0,290,37013
141.0,290,37013
142.0,290,37013
143.0,290,37013
144.0,290,37013
145.0,290,37013
146.0,290,37013
147.0,290,37013
148.0,290,37013
149.0,290,37013
150.0,290,37013
151.0,290,37013
152.0,290,37013
153.0,290,37013
154.0,290,37013
155.0,290,37013
156.0,290,37013
157.0,290,37013
158.0,290,37013
159.0,290,37013
160.0,290,37013
161.0,290,37013
162.0,290,37013
163.0,290,37013
164.0,290,37013
165.0,290,37013
166.0,290,37013
