"tick","GRCount","STCount"
1.0,80,3000
2.0,80,3000
3.0,80,3000
4.0,80,3000
5.0,80,3000
6.0,80,3000
7.0,80,3000
8.0,80,3000
9.0,80,3000
10.0,80,3000
11.0,80,3000
12.0,80,3000
13.0,80,3000
14.0,80,3000
15.0,80,3000
16.0,80,3000
17.0,80,3000
18.0,80,3000
19.0,80,3000
20.0,80,3000
21.0,80,3000
22.0,80,3000
23.0,80,3000
24.0,80,3000
25.0,80,3000
26.0,80,3000
27.0,140,3000
28.0,140,3000
29.0,224,3000
30.0,224,3000
31.0,224,3000
32.0,224,3000
33.0,224,3000
34.0,224,3000
35.0,384,3000
36.0,384,3000
37.0,384,3000
38.0,483,3000
39.0,483,3000
40.0,483,3000
41.0,483,3000
42.0,483,3000
43.0,483,3000
44.0,483,24000
45.0,483,24000
46.0,483,24000
47.0,483,24000
48.0,723,24000
49.0,992,24000
50.0,992,24000
51.0,992,24000
52.0,1288,24000
53.0,1591,24000
54.0,1933,24000
55.0,1905,24000
56.0,1890,24000
57.0,1890,24000
58.0,1873,24000
59.0,1873,24000
60.0,1853,24000
61.0,1853,24000
62.0,1853,24000
63.0,1853,24000
64.0,1853,24000
65.0,1853,24000
66.0,1853,24000
67.0,1853,24000
68.0,1853,24000
69.0,2408,46379
70.0,2408,46379
71.0,3028,53106
72.0,3028,53106
73.0,3028,53106
74.0,3028,53106
75.0,3010,53106
76.0,2971,53106
77.0,2935,53106
78.0,2935,53106
79.0,5197,53106
80.0,7507,57421
81.0,7488,57421
82.0,7488,57421
83.0,7488,57421
84.0,7018,57421
85.0,7018,57421
86.0,6984,57421
87.0,6984,57421
88.0,6957,57421
89.0,6957,57421
90.0,6914,57421
91.0,6914,57421
92.0,6896,57421
93.0,6896,57421
94.0,6875,57421
95.0,6187,57421
96.0,6180,57421
97.0,6180,57421
98.0,6180,57421
99.0,6180,57421
100.0,6180,57421
101.0,10202,57421
102.0,15940,84823
103.0,15909,84823
104.0,21499,84823
105.0,27096,84823
106.0,27070,84823
107.0,27035,84823
108.0,26982,84823
109.0,26936,84823
110.0,26936,84823
111.0,26936,84823
112.0,26936,84823
113.0,26936,84823
114.0,32114,84823
115.0,32114,84823
116.0,32040,84823
117.0,23654,84823
118.0,23654,84823
119.0,23654,84823
120.0,23654,84823
121.0,23654,84823
122.0,23654,84823
123.0,23654,84823
124.0,23654,84823
125.0,23654,84823
126.0,23654,84823
127.0,23654,84823
128.0,23654,84823
129.0,23654,84823
130.0,23654,84823
131.0,23654,84823
132.0,23654,84823
133.0,23654,84823
134.0,23654,84823
135.0,23654,84823
136.0,23654,84823
137.0,23654,84823
138.0,23654,84823
139.0,23654,84823
140.0,23654,84823
141.0,23654,84823
142.0,23654,84823
143.0,23654,84823
144.0,23654,84823
145.0,23654,84823
146.0,23654,84823
147.0,23654,84823
148.0,23654,84823
149.0,23654,84823
150.0,23654,84823
151.0,23654,84823
152.0,23654,84823
153.0,23654,84823
154.0,23654,84823
155.0,23654,84823
156.0,23654,84823
157.0,23654,84823
158.0,23654,84823
159.0,23654,84823
160.0,23654,84823
161.0,23654,84823
162.0,23654,84823
163.0,23654,84823
164.0,23654,84823
165.0,23654,84823
166.0,23654,84823
