"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
1.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
2.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
3.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
4.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
5.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
6.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
7.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
8.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
9.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
10.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
11.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
12.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
13.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
14.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
15.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
16.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
17.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
18.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
19.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
20.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
21.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
22.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.0,0.0
23.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.3883495145631068,0.3883495145631068
24.0,0.0,0.1941747572815534,0.0,32.038834951456316,0.5825242718446602,0.5825242718446602
25.0,0.1941747572815534,0.1941747572815534,0.1941747572815534,32.038834951456316,0.7766990291262136,0.7766990291262136
26.0,0.1941747572815534,0.1941747572815534,0.1941747572815534,32.038834951456316,1.7475728155339807,1.7475728155339807
27.0,0.1941747572815534,0.1941747572815534,0.1941747572815534,39.22330097087379,3.4951456310679614,3.4951456310679614
28.0,0.1941747572815534,0.7766990291262136,0.1941747572815534,39.22330097087379,4.854368932038835,4.854368932038835
29.0,0.1941747572815534,0.7766990291262136,0.1941747572815534,39.22330097087379,6.407766990291262,6.407766990291262
30.0,0.1941747572815534,1.5533980582524272,0.1941747572815534,39.22330097087379,8.155339805825243,8.155339805825243
