"tick","GRCount","STCount"
1.0,2000,200
2.0,2000,200
3.0,2000,200
4.0,2000,200
5.0,2000,200
6.0,2000,200
7.0,2000,200
8.0,2000,200
9.0,2000,200
10.0,2000,200
11.0,2000,200
12.0,2000,200
13.0,2000,200
14.0,2000,200
15.0,2000,200
16.0,2000,200
17.0,2000,200
18.0,2000,200
19.0,2000,200
20.0,2000,200
21.0,2000,200
22.0,2000,200
23.0,2000,200
24.0,2000,200
25.0,2000,200
26.0,2000,200
27.0,2000,200
28.0,2000,200
29.0,2000,200
30.0,2000,200
31.0,2000,200
32.0,2000,200
33.0,2000,200
34.0,2000,200
35.0,4674,200
36.0,7320,200
37.0,7320,200
38.0,9944,200
39.0,9944,200
40.0,9944,200
41.0,9944,200
42.0,9944,200
43.0,9944,200
44.0,9944,200
45.0,9944,200
46.0,9944,200
47.0,9944,200
48.0,9944,200
49.0,9944,200
50.0,9944,200
51.0,9944,200
52.0,9944,200
53.0,12583,200
54.0,16583,1572
55.0,16086,1572
56.0,16086,1572
57.0,15568,1572
58.0,15568,1572
59.0,15059,1572
60.0,15059,1572
61.0,14583,1572
62.0,14583,1572
63.0,14583,1572
64.0,14583,1572
65.0,14583,1572
66.0,14583,1572
67.0,14583,1572
68.0,14583,1572
69.0,14583,1572
