"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour","pestCount","GRsichtCount","GRertragCount","septoriaCount","STsichtCount","STertragCount"
36.0,5150000.0,44.85436893203884,9.320388349514563,9.320388349514563,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,275,0.0,0.0,501,4508.0,4508.0
37.0,5150000.0,47.18446601941748,9.514563106796116,9.514563106796116,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,275,0.0,0.0,501,5009.0,5009.0
38.0,5150000.0,47.96116504854369,9.320388349514563,9.320388349514563,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,5510.0,5510.0
39.0,5150000.0,63.30097087378641,9.320388349514563,9.320388349514563,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,6011.0,6011.0
40.0,5150000.0,64.85436893203882,9.514563106796116,9.514563106796116,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,6512.0,6512.0
41.0,5150000.0,65.63106796116504,9.514563106796116,9.514563106796116,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,7013.0,7013.0
42.0,5150000.0,66.40776699029126,9.320388349514563,9.320388349514563,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,7514.0,7514.0
43.0,5150000.0,66.40776699029126,9.320388349514563,9.320388349514563,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,8015.0,8015.0
44.0,5150000.0,66.40776699029126,9.514563106796116,9.514563106796116,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,501,8516.0,8516.0
45.0,5150000.0,66.79611650485437,12.427184466019417,12.427184466019417,72.62135922330097,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,3507,9017.0,9017.0
46.0,5150000.0,66.99029126213593,18.058252427184467,18.058252427184467,99.80582524271846,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,3507,9518.0,9518.0
47.0,5150000.0,66.99029126213593,20.388349514563107,20.388349514563107,100.0,72.62135922330097,72.62135922330097,1.0,2.0,428,0.0,0.0,3507,10019.0,10019.0
48.0,5150000.0,66.99029126213593,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,720,0.0,0.0,3507,10520.0,10520.0
49.0,5150000.0,81.35922330097087,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,842,0.0,0.0,3507,11021.0,11021.0
50.0,5150000.0,83.49514563106796,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,842,0.0,0.0,3507,11522.0,11522.0
51.0,5150000.0,83.88349514563107,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,842,0.0,0.0,3507,12023.0,12023.0
52.0,5150000.0,84.07766990291262,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1208,0.0,0.0,3507,12524.0,12524.0
53.0,5150000.0,91.2621359223301,20.776699029126213,20.776699029126213,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1330,0.0,0.0,3507,13025.0,13025.0
54.0,5150000.0,93.00970873786409,27.57281553398058,27.57281553398058,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1330,0.0,0.0,3507,13526.0,13526.0
55.0,5150000.0,93.00970873786409,27.57281553398058,27.57281553398058,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1350,0.0,0.0,3507,14027.0,14027.0
56.0,5150000.0,93.59223300970874,31.2621359223301,31.2621359223301,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1350,0.0,0.0,3507,14528.0,14528.0
57.0,5134895.210000001,93.59223300970874,31.2621359223301,31.2621359223301,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1350,0.0,0.0,3507,15029.0,15029.0
58.0,5118983.81,93.59223300970874,34.75728155339806,34.75728155339806,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1350,0.0,0.0,3507,15530.0,15530.0
59.0,5102265.799999999,93.59223300970874,34.95145631067961,34.95145631067961,100.0,72.62135922330097,72.62135922330097,1.0,2.0,1350,0.0,0.0,3507,16031.0,16031.0
60.0,5090523.610000002,93.59223300970874,45.43689320388349,34.75728155339806,100.0,72.62135922330097,57.66990291262136,1.0,2.0,1408,0.0,0.0,3507,16532.0,11022.0
61.0,5078226.889999993,94.5631067961165,46.019417475728154,34.368932038834956,100.0,72.62135922330097,57.66990291262136,1.0,2.0,1408,0.0,0.0,3507,17033.0,11356.0
62.0,5065388.980000001,94.75728155339806,48.15533980582524,36.699029126213595,100.0,72.62135922330097,57.66990291262136,1.0,2.0,1452,0.0,0.0,3507,17534.0,11690.0
63.0,5051999.759999998,95.33980582524272,48.54368932038835,36.699029126213595,100.0,72.62135922330097,57.66990291262136,1.0,2.0,1452,0.0,0.0,3507,18035.0,12024.0
64.0,5038069.350000005,95.33980582524272,52.42718446601942,39.22330097087379,100.0,72.62135922330097,57.66990291262136,1.0,2.0,1452,0.0,0.0,3507,18536.0,12358.0
