"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
2.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
3.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
4.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
5.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
6.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
7.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
8.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
9.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
10.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
11.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
12.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
13.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
14.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
15.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
16.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
17.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
18.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
19.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
20.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
21.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
22.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
23.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.0,0.0,1.0,3.0
24.0,0.0,1.3461538461538463,0.0,39.23076923076923,0.19230769230769232,0.19230769230769232,1.0,3.0
25.0,0.19230769230769232,1.3461538461538463,0.19230769230769232,39.23076923076923,0.576923076923077,0.576923076923077,1.0,3.0
26.0,0.38461538461538464,1.3461538461538463,0.38461538461538464,39.23076923076923,1.153846153846154,1.153846153846154,1.0,3.0
27.0,0.38461538461538464,1.3461538461538463,0.38461538461538464,49.42307692307693,2.6923076923076925,2.6923076923076925,1.0,3.0
28.0,0.9615384615384616,2.6923076923076925,0.9615384615384616,49.42307692307693,3.4615384615384617,3.4615384615384617,1.0,3.0
29.0,0.9615384615384616,2.6923076923076925,0.9615384615384616,49.42307692307693,5.0,5.0,1.0,3.0
30.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,6.923076923076923,6.923076923076923,1.0,3.0
31.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,9.230769230769232,9.230769230769232,1.0,3.0
32.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,11.346153846153847,11.346153846153847,1.0,3.0
33.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,17.692307692307693,17.692307692307693,1.0,3.0
34.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,21.73076923076923,21.73076923076923,1.0,3.0
35.0,1.3461538461538463,6.730769230769231,1.3461538461538463,49.42307692307693,25.384615384615383,25.384615384615383,1.0,3.0
