"tick","GRCount","STCount"
1.0,5,500
2.0,5,500
3.0,5,500
4.0,5,500
5.0,5,500
6.0,5,500
7.0,5,500
8.0,5,500
9.0,5,500
10.0,5,500
11.0,5,500
12.0,5,500
13.0,5,500
14.0,5,500
15.0,5,500
16.0,5,500
17.0,5,500
18.0,5,500
19.0,5,500
20.0,5,500
21.0,5,500
22.0,5,500
23.0,5,500
24.0,5,500
25.0,5,500
26.0,5,548
27.0,8,548
28.0,8,548
29.0,17,548
30.0,17,548
31.0,17,548
32.0,17,548
33.0,17,548
34.0,17,548
35.0,27,548
36.0,27,548
37.0,27,548
38.0,31,548
39.0,31,548
40.0,31,548
41.0,31,548
42.0,31,548
43.0,31,548
44.0,31,548
45.0,31,3250
46.0,31,3250
47.0,31,3250
48.0,49,3250
49.0,65,3250
50.0,65,3250
51.0,65,3250
52.0,88,3250
53.0,110,3250
54.0,110,3250
55.0,110,3250
56.0,110,3250
57.0,110,3250
58.0,110,3250
59.0,110,3250
60.0,110,3250
61.0,110,3250
62.0,110,3250
63.0,110,3250
64.0,110,3250
65.0,110,3250
66.0,110,3250
67.0,110,3250
68.0,110,3250
69.0,153,3250
70.0,153,3614
71.0,192,3614
