"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","Ertrag"
1.0,3.6893203883495143,0.0,0.0,39.41747572815534,0.0,0.0,5150000.0
2.0,4.077669902912621,0.0,0.0,44.66019417475729,0.0,0.0,5150000.0
3.0,4.271844660194175,0.0,0.0,47.18446601941748,0.0,0.0,5150000.0
4.0,4.466019417475728,0.0,0.0,48.737864077669904,0.0,0.0,5150000.0
5.0,4.466019417475728,0.0,0.0,49.51456310679612,0.0,0.0,5150000.0
6.0,4.466019417475728,0.0,0.0,49.51456310679612,0.0,0.0,5150000.0
7.0,4.466019417475728,0.0,0.0,49.51456310679612,0.0,0.0,5150000.0
8.0,4.466019417475728,0.0,0.0,49.70873786407767,0.0,0.0,5150000.0
9.0,4.466019417475728,0.0,0.0,49.90291262135923,0.0,0.0,5150000.0
10.0,4.466019417475728,0.0,0.0,49.90291262135923,0.0,0.0,5150000.0
11.0,4.466019417475728,0.0,0.0,49.90291262135923,0.0,0.0,5150000.0
12.0,4.466019417475728,0.0,0.0,49.90291262135923,0.0,0.0,5150000.0
13.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
14.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
15.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
16.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
17.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
18.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
19.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
20.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
21.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
22.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
23.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
24.0,4.466019417475728,0.0,0.0,50.09708737864078,0.0,0.0,5150000.0
25.0,4.466019417475728,0.9708737864077669,0.9708737864077669,50.09708737864078,0.0,0.0,5150000.0
26.0,4.466019417475728,1.7475728155339807,1.7475728155339807,50.09708737864078,0.0,0.0,5150000.0
27.0,4.466019417475728,1.7475728155339807,1.7475728155339807,50.09708737864078,0.0,0.0,5150000.0
28.0,6.019417475728155,1.9417475728155338,1.9417475728155338,50.09708737864078,0.0,0.0,5150000.0
29.0,6.407766990291262,1.9417475728155338,1.9417475728155338,50.09708737864078,0.0,0.0,5150000.0
30.0,9.320388349514563,3.8834951456310676,3.8834951456310676,50.09708737864078,0.0,0.0,5150000.0
