"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
1.0,5150000.0,3.1067961165048543,0.0,0.0,29.514563106796114,0.0,0.0,1.0,2.0
2.0,5150000.0,9.514563106796116,0.0,0.0,60.58252427184466,0.0,0.0,1.0,2.0
3.0,5150000.0,10.679611650485436,0.0,0.0,66.60194174757281,0.0,0.0,1.0,2.0
4.0,5150000.0,11.45631067961165,0.0,0.0,67.37864077669903,0.0,0.0,1.0,2.0
5.0,5150000.0,11.45631067961165,0.0,0.0,67.57281553398057,0.0,0.0,1.0,2.0
6.0,5150000.0,11.650485436893204,0.0,0.0,67.76699029126215,0.0,0.0,1.0,2.0
7.0,5150000.0,11.650485436893204,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
8.0,5150000.0,11.650485436893204,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
9.0,5150000.0,11.650485436893204,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
10.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
11.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
12.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
13.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
14.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
15.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
16.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
17.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
18.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
19.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
20.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
21.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
22.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
23.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
24.0,5150000.0,11.844660194174757,0.0,0.0,68.15533980582525,0.0,0.0,1.0,2.0
25.0,5150000.0,11.844660194174757,1.3592233009708738,1.3592233009708738,68.15533980582525,0.0,0.0,1.0,2.0
26.0,5150000.0,11.844660194174757,4.271844660194175,4.271844660194175,68.15533980582525,0.0,0.0,1.0,2.0
27.0,5150000.0,11.844660194174757,4.271844660194175,4.271844660194175,68.15533980582525,0.0,0.0,1.0,2.0
28.0,5150000.0,16.310679611650485,6.601941747572816,6.601941747572816,68.15533980582525,0.0,0.0,1.0,2.0
29.0,5150000.0,17.0873786407767,6.796116504854369,6.796116504854369,68.15533980582525,0.0,0.0,1.0,2.0
30.0,5150000.0,26.019417475728158,9.12621359223301,9.12621359223301,68.15533980582525,0.0,0.0,1.0,2.0
31.0,5150000.0,27.378640776699033,9.320388349514563,9.320388349514563,68.15533980582525,0.0,0.0,1.0,2.0
32.0,5150000.0,28.155339805825243,9.320388349514563,9.320388349514563,68.15533980582525,0.0,0.0,1.0,2.0
33.0,5150000.0,28.7378640776699,9.12621359223301,9.12621359223301,68.15533980582525,0.0,0.0,1.0,2.0
34.0,5150000.0,28.7378640776699,9.12621359223301,9.12621359223301,68.15533980582525,0.0,0.0,1.0,2.0
35.0,5150000.0,28.7378640776699,9.320388349514563,9.320388349514563,68.15533980582525,0.0,0.0,1.0,2.0
36.0,5150000.0,46.213592233009706,9.12621359223301,9.12621359223301,68.15533980582525,0.0,0.0,1.0,2.0
37.0,5150000.0,47.37864077669903,9.320388349514563,9.320388349514563,68.15533980582525,0.0,0.0,1.0,2.0
38.0,5150000.0,48.737864077669904,9.12621359223301,9.12621359223301,68.15533980582525,0.0,0.0,1.0,2.0
39.0,5150000.0,61.74757281553398,9.12621359223301,9.12621359223301,68.15533980582525,59.02912621359223,59.02912621359223,1.0,2.0
40.0,5150000.0,62.912621359223294,9.320388349514563,9.320388349514563,68.15533980582525,64.27184466019418,64.27184466019418,1.0,2.0
41.0,5150000.0,64.07766990291263,9.12621359223301,9.12621359223301,68.15533980582525,66.01941747572816,66.01941747572816,1.0,2.0
42.0,5150000.0,64.07766990291263,9.12621359223301,9.12621359223301,68.15533980582525,66.79611650485437,66.79611650485437,1.0,2.0
43.0,5150000.0,64.46601941747574,9.12621359223301,9.12621359223301,68.15533980582525,66.99029126213593,66.99029126213593,1.0,2.0
44.0,5150000.0,64.46601941747574,9.12621359223301,9.12621359223301,68.15533980582525,67.96116504854369,67.96116504854369,1.0,2.0
45.0,5150000.0,64.46601941747574,11.067961165048544,11.067961165048544,68.15533980582525,68.15533980582525,68.15533980582525,1.0,2.0
46.0,5150000.0,64.46601941747574,16.116504854368934,16.116504854368934,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
47.0,5150000.0,64.46601941747574,20.388349514563107,20.388349514563107,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
48.0,5150000.0,64.46601941747574,20.776699029126213,20.776699029126213,99.80582524271846,68.15533980582525,68.15533980582525,1.0,2.0
