"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour","AnzahlFungizidanw","Location"
1.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
2.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
3.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
4.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
5.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
6.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
7.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
8.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
9.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
10.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
11.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
12.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
13.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
14.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
15.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
16.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
17.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
18.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
19.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
20.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
21.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
22.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
23.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
24.0,0.0,75.1923076923077,0.0,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
25.0,30.91346153846154,75.1923076923077,30.91346153846154,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
26.0,30.91346153846154,75.1923076923077,30.91346153846154,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
27.0,50.86538461538461,75.1923076923077,50.86538461538461,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
28.0,50.86538461538461,75.1923076923077,50.86538461538461,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
29.0,64.47115384615385,75.1923076923077,64.47115384615385,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
30.0,64.47115384615385,75.1923076923077,64.47115384615385,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
31.0,75.1923076923077,75.1923076923077,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
32.0,75.1923076923077,75.1923076923077,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
33.0,75.1923076923077,94.95192307692307,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
34.0,75.1923076923077,94.95192307692307,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
35.0,75.1923076923077,94.95192307692307,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
36.0,75.1923076923077,98.5576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
37.0,75.1923076923077,99.32692307692308,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
38.0,75.1923076923077,99.32692307692308,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
39.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
40.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
41.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
42.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
43.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
44.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
45.0,75.1923076923077,99.85576923076923,75.1923076923077,17.740384615384617,17.740384615384617,17.740384615384617,1.0,3.0,0.0,1.0
