"tick","GRCount","STCount"
1.0,5,500
2.0,5,500
3.0,5,500
4.0,5,500
5.0,5,500
6.0,5,500
7.0,5,500
8.0,5,500
9.0,5,500
10.0,5,500
11.0,5,500
12.0,5,500
13.0,5,500
14.0,5,500
15.0,5,500
16.0,5,500
17.0,5,500
18.0,5,500
19.0,5,500
20.0,5,500
21.0,5,500
22.0,5,500
23.0,5,500
24.0,5,500
25.0,5,500
26.0,5,542
27.0,8,542
28.0,8,542
29.0,15,542
30.0,15,542
31.0,15,542
32.0,15,542
33.0,15,542
34.0,15,542
35.0,25,542
36.0,25,542
37.0,25,542
38.0,33,542
39.0,33,542
40.0,33,542
41.0,33,542
42.0,33,542
43.0,33,542
44.0,33,542
45.0,33,3560
46.0,33,3560
47.0,33,3560
48.0,44,3560
49.0,60,3560
50.0,60,3560
51.0,60,3560
52.0,82,3560
53.0,103,3560
54.0,103,3560
55.0,103,3560
56.0,103,3560
57.0,103,3560
58.0,103,3560
59.0,103,3560
60.0,103,2667
61.0,103,2667
62.0,103,2667
63.0,103,2667
64.0,103,2667
65.0,103,2667
66.0,103,2667
67.0,103,2667
68.0,103,2667
69.0,152,2667
70.0,152,3173
71.0,193,3173
72.0,193,3922
73.0,193,3922
74.0,193,3922
75.0,193,3922
76.0,193,3922
77.0,193,3922
78.0,193,2786
79.0,328,2786
80.0,461,2786
81.0,461,4129
82.0,461,4129
83.0,461,4129
84.0,437,2556
85.0,437,2556
86.0,437,2556
87.0,437,2556
88.0,437,2556
89.0,437,2556
90.0,437,2556
91.0,437,2556
92.0,437,2556
93.0,437,2556
94.0,437,2556
95.0,386,2556
96.0,386,2556
97.0,386,2556
98.0,386,2556
99.0,386,2556
100.0,386,2556
101.0,784,2556
102.0,1154,2556
103.0,1154,2556
104.0,1541,4660
105.0,1936,4660
106.0,1936,4660
107.0,1936,4660
108.0,1936,4660
109.0,1936,4660
110.0,1936,4660
111.0,1936,4660
112.0,1936,4660
113.0,2302,4660
114.0,2302,4660
115.0,2302,4660
116.0,2302,4660
117.0,1667,4660
118.0,1667,4660
119.0,1667,4660
120.0,1667,4660
121.0,1667,4660
122.0,1667,4660
123.0,1667,4660
124.0,1667,4660
125.0,1667,4660
126.0,1667,4660
127.0,1667,4660
128.0,1667,4660
129.0,1667,4660
130.0,1667,4660
131.0,1667,4660
132.0,1667,4660
133.0,1667,4660
134.0,1667,4660
135.0,1667,4660
136.0,1667,4660
137.0,1667,4660
138.0,1667,4660
139.0,1667,4660
140.0,1667,4660
141.0,1667,4660
142.0,1667,4660
143.0,1667,4660
144.0,1667,4660
145.0,1667,4660
146.0,1667,4660
147.0,1667,4660
148.0,1667,4660
149.0,1667,4660
150.0,1667,4660
151.0,1667,4660
152.0,1667,4660
153.0,1667,4660
154.0,1667,4660
155.0,1667,4660
156.0,1667,4660
157.0,1667,4660
158.0,1667,4660
159.0,1667,4660
160.0,1667,4660
161.0,1667,4660
162.0,1667,4660
163.0,1667,4660
164.0,1667,4660
165.0,1667,4660
166.0,1667,4660
