"tick","GRCount","STCount"
1.0,6,501
2.0,6,501
3.0,6,501
4.0,6,501
5.0,6,501
6.0,6,501
7.0,6,501
8.0,6,501
9.0,6,501
10.0,6,501
11.0,6,501
12.0,6,501
13.0,6,501
14.0,6,501
15.0,6,501
16.0,6,501
17.0,6,501
18.0,6,501
19.0,6,501
20.0,6,501
21.0,6,501
22.0,6,501
23.0,6,501
24.0,6,501
25.0,6,501
26.0,6,501
27.0,6,501
28.0,6,501
29.0,15,501
30.0,15,501
31.0,15,501
32.0,15,501
33.0,15,501
34.0,15,501
35.0,51,501
36.0,51,501
37.0,51,501
38.0,73,501
39.0,73,501
40.0,73,501
41.0,73,501
42.0,73,501
43.0,73,501
44.0,73,501
45.0,73,3507
46.0,73,3507
47.0,73,3507
48.0,108,3507
49.0,135,3507
50.0,135,3507
51.0,135,3507
52.0,197,3507
53.0,235,3507
54.0,240,3507
55.0,240,3507
56.0,240,3507
57.0,240,3507
58.0,240,3507
59.0,240,3507
60.0,240,3507
61.0,240,3507
62.0,240,3507
63.0,240,3507
64.0,240,3507
65.0,240,3507
66.0,240,3507
67.0,240,3507
68.0,240,3507
69.0,525,3507
70.0,525,3807
71.0,745,3807
72.0,745,4074
73.0,745,4074
74.0,745,4074
75.0,745,4074
76.0,745,4074
77.0,745,4074
78.0,745,4074
79.0,1555,4074
80.0,2070,4074
81.0,2070,5916
82.0,2070,5916
83.0,2070,5916
84.0,2070,5916
85.0,2070,5916
86.0,2070,5916
87.0,2070,5916
88.0,2070,5916
89.0,2070,5916
90.0,2070,5916
91.0,2070,5916
92.0,2070,5916
93.0,2070,5916
94.0,2070,5916
95.0,2070,5916
96.0,2070,5916
97.0,2070,5916
98.0,1991,5916
99.0,1991,5916
100.0,1991,5916
101.0,9833,5916
102.0,14204,5916
