"tick","GRCount","STCount"
1.0,6,1800
2.0,6,1800
3.0,6,1800
4.0,6,1800
5.0,6,1800
6.0,6,1800
7.0,6,1800
8.0,6,1800
9.0,6,1800
10.0,6,1800
11.0,6,1800
12.0,6,1800
13.0,6,1800
14.0,6,1800
15.0,6,1800
16.0,6,1800
17.0,6,1800
18.0,6,1800
19.0,6,1800
20.0,6,1800
21.0,6,1800
22.0,6,1800
23.0,6,1800
24.0,6,1800
25.0,6,1800
26.0,6,1886
27.0,7,1886
28.0,7,1886
29.0,8,1886
30.0,8,1886
31.0,8,1886
32.0,8,1886
33.0,8,1886
34.0,8,1886
35.0,10,1886
36.0,10,1886
37.0,10,1886
38.0,13,1886
39.0,13,1886
40.0,13,1886
41.0,13,1886
42.0,13,1886
43.0,13,1886
44.0,13,1886
45.0,13,5170
46.0,13,5170
47.0,13,5170
48.0,14,5170
49.0,19,5170
50.0,19,5170
51.0,19,5170
52.0,20,5170
53.0,25,5170
54.0,25,5170
55.0,25,5170
56.0,24,5170
57.0,24,5170
58.0,22,5170
59.0,22,5170
60.0,24,5170
61.0,24,5170
62.0,25,5170
63.0,25,5170
64.0,25,5170
65.0,25,5170
66.0,25,5170
67.0,25,5170
68.0,25,5170
69.0,27,5170
70.0,27,6658
71.0,29,6658
72.0,29,8309
73.0,29,8309
74.0,29,8309
75.0,29,8309
76.0,29,8309
77.0,29,8309
78.0,29,8309
79.0,34,8309
80.0,45,8309
81.0,45,8309
82.0,45,8309
83.0,45,8309
84.0,41,8309
85.0,41,8309
86.0,41,8309
87.0,41,8309
88.0,41,8309
89.0,41,8309
90.0,40,8309
91.0,40,8309
92.0,40,8309
93.0,40,8309
94.0,40,8309
95.0,31,8309
96.0,30,8309
97.0,30,8309
98.0,30,8309
99.0,30,8309
100.0,30,8309
101.0,34,8309
102.0,50,8309
103.0,50,8309
104.0,64,8309
105.0,70,8309
106.0,68,8309
107.0,68,8309
108.0,67,8309
109.0,67,8309
110.0,67,8309
111.0,66,8309
112.0,66,8309
113.0,71,8309
114.0,71,8309
115.0,71,8309
116.0,70,8309
117.0,43,8309
118.0,43,8309
119.0,43,8309
120.0,43,8309
121.0,43,8309
122.0,43,8309
123.0,43,8309
124.0,43,8309
125.0,43,8309
126.0,43,8309
127.0,43,8309
128.0,43,8309
129.0,43,8309
130.0,43,8309
131.0,43,8309
132.0,43,8309
133.0,43,8309
134.0,43,8309
135.0,43,8309
136.0,43,8309
137.0,43,8309
138.0,43,8309
139.0,43,8309
140.0,43,8309
141.0,43,8309
142.0,43,8309
143.0,43,8309
144.0,43,8309
145.0,43,8309
146.0,43,8309
147.0,43,8309
148.0,43,8309
149.0,43,8309
150.0,43,8309
151.0,43,8309
152.0,43,8309
153.0,43,8309
154.0,43,8309
155.0,43,8309
156.0,43,8309
157.0,43,8309
158.0,43,8309
159.0,43,8309
160.0,43,8309
161.0,43,8309
162.0,43,8309
163.0,43,8309
164.0,43,8309
165.0,43,8309
166.0,43,8309
